nid	naks	gname	lon	lat	year	date	jd
N10-Mag	मघाः	α Leo	87.901	0.163	-2500	-2500-12-31T06:00:00	808297.5364471667
N13-Has	हस्तः	γ Crv	128.828	-14.385	-2500	-2500-12-31T06:00:00	808297.5364471667
N18-Jye	ज्येष्ठा	α Sco	187.538	-3.995	-2500	-2500-12-31T06:00:00	808297.5364471667
N19-Mul	मूलं	λ Sco	202.357	-13.158	-2500	-2500-12-31T06:00:00	808297.5364471667
N20-PAsh	पूर्वाषाढा	δ Sgr	212.301	-5.830	-2500	-2500-12-31T06:00:00	808297.5364471667
N21-UAsh	उत्तराषाढा	σ Sgr	220.125	-2.775	-2500	-2500-12-31T06:00:00	808297.5364471667
N24-Sha	शतभिषक्	α PsA	271.146	-20.426	-2500	-2500-12-31T06:00:00	808297.5364471667
N27-Rev	रेवती	ζ Psc	317.493	-0.204	-2500	-2500-12-31T06:00:00	808297.5364471667
N10-Mag	मघाः	α Leo	88.583	0.168	-2450	-2450-12-31T18:00:00	826560.0364471667
N13-Has	हस्तः	γ Crv	129.510	-14.385	-2450	-2450-12-31T18:00:00	826560.0364471667
N18-Jye	ज्येष्ठा	α Sco	188.224	-4.000	-2450	-2450-12-31T18:00:00	826560.0364471667
N19-Mul	मूलं	λ Sco	203.043	-13.165	-2450	-2450-12-31T18:00:00	826560.0364471667
N20-PAsh	पूर्वाषाढा	δ Sgr	212.987	-5.837	-2450	-2450-12-31T18:00:00	826560.0364471667
N21-UAsh	उत्तराषाढा	σ Sgr	220.811	-2.783	-2450	-2450-12-31T18:00:00	826560.0364471667
N24-Sha	शतभिषक्	α PsA	271.837	-20.435	-2450	-2450-12-31T18:00:00	826560.0364471667
N27-Rev	रेवती	ζ Psc	318.180	-0.205	-2450	-2450-12-31T18:00:00	826560.0364471667
N10-Mag	मघाः	α Leo	89.265	0.172	-2400	-2400-12-31T06:00:00	844822.5364471667
N13-Has	हस्तः	γ Crv	130.192	-14.385	-2400	-2400-12-31T06:00:00	844822.5364471667
N18-Jye	ज्येष्ठा	α Sco	188.909	-4.006	-2400	-2400-12-31T06:00:00	844822.5364471667
