MoonRise,Az,Phase,Paksha,days,Fullmoon,Newmoon,Eclipse
-01435-01-01,62.9894,90.906,Shukla,364.0,0,0,0.0
-01435-01-02,60.5525,96.277,Shukla,363.0,0,0,0.0
-01435-01-03,58.5029,99.24700000000001,Shukla,362.0,0,0,0.0
-01435-01-04,58.978,99.833,Shukla,361.0,1,0,0.0
-01435-01-05,62.0994,98.111,Krishna,360.0,0,0,0.0
-01435-01-06,65.8131,94.333,Krishna,359.0,0,0,0.0
-01435-01-07,70.8479,88.78299999999999,Krishna,358.0,0,0,0.0
-01435-01-08,76.8903,81.77,Krishna,357.0,0,0,0.0
-01435-01-09,82.5983,73.655,Krishna,356.0,0,0,0.0
-01435-01-10,89.6853,64.62899999999999,Krishna,355.0,0,0,0.0
-01435-01-11,95.8145,55.083,Krishna,354.0,0,0,0.0
-01435-01-12,101.7048,45.244,Krishna,353.0,0,0,0.0
-01435-01-13,108.0612,35.361,Krishna,352.0,0,0,0.0
-01435-01-14,113.4995,25.849,Krishna,351.0,0,0,0.0
-01435-01-15,117.6401,17.131,Krishna,350.0,0,0,0.0
-01435-01-16,121.1326,9.658999999999999,Krishna,349.0,0,0,0.0
-01435-01-18,122.739,4.025,Krishna,347.0,0,0,0.0
-01435-01-19,121.4739,0.762,Krishna,346.0,0,0,0.0
-01435-01-20,118.5899,0.249,Krishna,345.0,0,1,0.0
-01435-01-21,113.5064,2.678,Shukla,344.0,0,0,0.0
-01435-01-22,106.6647,7.947,Shukla,343.0,0,0,0.0
-01435-01-23,99.4184,15.732000000000001,Shukla,342.0,0,0,0.0
-01435-01-24,91.1259,25.414,Shukla,341.0,0,0,0.0
-01435-01-25,83.9391,36.426,Shukla,340.0,0,0,0.0
-01435-01-26,76.1731,47.923,Shukla,339.0,0,0,0.0
-01435-01-27,69.9044,59.379,Shukla,338.0,0,0,0.0
-01435-01-28,64.3879,70.126,Shukla,337.0,0,0,0.0
-01435-01-29,60.7974,79.735,Shukla,336.0,0,0,0.0
-01435-01-30,58.4292,87.734,Shukla,335.0,0,0,0.0
-01435-01-31,58.4757,93.87700000000001,Shukla,334.0,0,0,0.0
-01435-02-01,61.0867,97.948,Shukla,333.0,0,0,0.0
-01435-02-02,64.2954,99.829,Shukla,332.0,1,0,0.0
-01435-02-03,68.8938,99.583,Krishna,331.0,1,0,0.0
-01435-02-04,74.6092,97.319,Krishna,330.0,0,0,0.0
-01435-02-05,80.113,93.234,Krishna,329.0,0,0,0.0
-01435-02-06,87.1098,87.48299999999999,Krishna,328.0,0,0,0.0
-01435-02-07,93.2598,80.357,Krishna,327.0,0,0,0.0
-01435-02-08,99.2837,72.064,Krishna,326.0,0,0,0.0
-01435-02-09,105.9063,62.791000000000004,Krishna,325.0,0,0,0.0
-01435-02-10,111.781,52.858000000000004,Krishna,324.0,0,0,0.0
-01435-02-11,116.5585,42.576,Krishna,323.0,0,0,0.0
-01435-02-12,119.8973,32.319,Krishna,322.0,0,0,0.0
-01435-02-13,122.518,22.494,Krishna,321.0,0,0,0.0
-01435-02-14,122.2689,13.76,Krishna,320.0,0,0,0.0
-01435-02-16,120.2334,6.692,Krishna,318.0,0,0,0.0
-01435-02-17,115.6986,1.949,Krishna,317.0,0,0,0.0
-01435-02-18,110.0169,0.032,Krishna,316.0,0,1,0.0
-01435-02-19,102.6386,1.244,Shukla,315.0,0,0,0.0
-01435-02-20,94.9174,5.558,Shukla,314.0,0,0,0.0
-01435-02-21,86.2586,12.581,Shukla,313.0,0,0,0.0
-01435-02-22,78.8571,21.795,Shukla,312.0,0,0,0.0
-01435-02-23,72.0277,32.425,Shukla,311.0,0,0,0.0
-01435-02-24,66.0058,43.72,Shukla,310.0,0,0,0.0
-01435-02-25,61.9593,55.083,Shukla,309.0,0,0,0.0
-01435-02-26,59.1687,65.87,Shukla,308.0,0,0,0.0
-01435-02-27,58.7854,75.693,Shukla,307.0,0,0,0.0
-01435-02-28,59.9791,84.126,Shukla,306.0,0,0,0.0
-01435-03-01,62.742,90.916,Shukla,305.0,0,0,0.0
-01435-03-02,66.935,95.88600000000001,Shukla,304.0,0,0,0.0
-01435-03-03,72.3189,98.926,Shukla,303.0,0,0,0.0
-01435-03-04,78.599,99.992,Shukla,302.0,1,0,0.1
-01435-03-05,84.4499,99.10600000000001,Krishna,301.0,0,0,0.0
-01435-03-06,90.5721,96.346,Krishna,300.0,0,0,0.0
-01435-03-07,97.6962,91.788,Krishna,299.0,0,0,0.0
-01435-03-08,103.4746,85.637,Krishna,298.0,0,0,0.0
-01435-03-09,109.6541,78.00399999999999,Krishna,297.0,0,0,0.0
-01435-03-10,114.8907,69.14,Krishna,296.0,0,0,0.0
-01435-03-11,118.8687,59.303999999999995,Krishna,295.0,0,0,0.0
-01435-03-12,121.3178,48.805,Krishna,294.0,0,0,0.0
-01435-03-13,122.0633,38.032,Krishna,293.0,0,0,0.0
-01435-03-14,121.0709,27.468000000000004,Krishna,292.0,0,0,0.0
-01435-03-15,118.4683,17.715,Krishna,291.0,0,0,0.0
-01435-03-16,113.537,9.509,Krishna,290.0,0,0,0.0
-01435-03-18,106.6075,3.5469999999999997,Krishna,288.0,0,0,0.0
-01435-03-19,98.997,0.4,Krishna,287.0,0,1,0.0
-01435-03-20,91.0618,0.451,Shukla,286.0,0,1,0.0
-01435-03-21,82.2246,3.7030000000000003,Shukla,285.0,0,0,0.0
-01435-03-22,74.7205,9.863999999999999,Shukla,284.0,0,0,0.0
