UTC_Date,EclType,PenMag,UmbralMag,PenEclipseBegins,Alt1,PartialEclipseBegins,Alt2,TotalEclipseBegins,Alt3,MidEclipse,Alt4,TotalEclipseEnds,Alt5,PartialEclipseEnds,Alt6,PenEclipseEnds,Alt7
-01499-07-18,P,1.087,0.140,00:38,+40,02:03,+34,-,-,02:43,+29,-,-,03:23,+24,04:48,+09
-01498-07-07,T,2.406,1.440,16:29,-34,17:26,-22,18:27,-10,19:10,-02,19:54,+07,20:55,+17,21:52,+26
-01497-06-27,P,1.875,0.860,04:33,+08,05:42,-05,-,-,07:17,-24,-,-,08:52,-43,10:00,-58
-01497-12-20,N,0.937,-0.062,21:02,+44,-,-,-,-,23:05,+71,-,-,-,-,01:08,+81
-01496-05-16,N,0.170,-0.898,20:39,+22,-,-,-,-,21:42,+33,-,-,-,-,22:46,+42
-01496-11-10,P,0.994,0.018,01:06,+71,02:53,+50,-,-,03:08,+47,-,-,03:23,+44,05:10,+21
-01495-05-05,P,1.579,0.529,20:13,+19,21:34,+34,-,-,22:56,+46,-,-,00:18,+51,01:39,+47
-01495-10-30,T,2.203,1.190,14:14,-45,15:17,-34,16:27,-20,16:58,-14,17:30,-07,18:40,+08,19:42,+21
-01494-04-25,T,2.694,1.696,03:03,+37,04:02,+25,05:03,+13,05:53,+02,06:44,-09,07:44,-22,08:44,-35
-01494-10-19,T,2.257,1.187,21:51,+49,23:01,+62,00:15,+68,00:48,+67,01:21,+64,02:35,+52,03:45,+37
-01493-04-14,P,1.309,0.356,17:23,-16,18:36,-01,-,-,19:39,+13,-,-,20:41,+25,21:55,+39
-01493-10-08,N,0.973,-0.129,23:24,+61,-,-,-,-,01:45,+57,-,-,-,-,04:06,+31
-01492-03-05,P,1.003,0.039,02:51,+56,04:33,+34,-,-,04:54,+29,-,-,05:16,+25,06:58,+02
-01491-02-22,T,2.323,1.307,15:02,-36,16:05,-26,17:12,-14,17:51,-06,18:30,+02,19:37,+16,20:40,+29
-01491-08-17,T,2.082,1.094,16:34,-33,17:35,-20,18:51,-05,19:14,+00,19:37,+05,20:53,+19,21:54,+30
-01490-02-11,P,2.060,0.988,20:42,+34,21:55,+50,-,-,23:38,+72,-,-,01:22,+78,02:35,+64
-01489-01-31,N,0.750,-0.342,21:36,+47,-,-,-,-,23:42,+74,-,-,-,-,01:49,+74
-01489-07-28,N,0.961,-0.001,01:08,+39,-,-,-,-,03:09,+27,-,-,-,-,05:10,+06
-01488-06-17,P,1.294,0.265,02:33,+29,04:02,+15,-,-,05:01,+04,-,-,06:00,-07,07:30,-25
-01488-12-10,T,2.254,1.266,19:00,+18,19:58,+30,21:04,+44,21:40,+52,22:15,+60,23:21,+74,00:19,+85
-01487-06-06,T,2.700,1.634,05:12,+02,06:21,-12,07:26,-25,08:18,-36,09:10,-47,10:15,-61,11:24,-76
-01486-11-20,N,0.967,-0.035,01:36,+67,-,-,-,-,03:41,+41,-,-,-,-,05:45,+15
-01485-04-16,N,0.556,-0.428,03:06,+38,-,-,-,-,04:46,+19,-,-,-,-,06:25,-03
-01485-10-10,N,0.785,-0.297,18:18,+00,-,-,-,-,20:24,+28,-,-,-,-,22:30,+53
-01484-04-04,T,1.965,1.017,17:18,-17,18:15,-04,19:40,+14,19:49,+16,19:59,+18,21:24,+35,22:21,+46
-01484-09-28,P,2.023,0.923,17:15,-16,18:32,+00,-,-,20:15,+23,-,-,21:58,+43,23:15,+56
-01483-09-17,T,2.481,1.415,18:04,-08,19:12,+06,20:19,+20,21:04,+29,21:49,+38,22:56,+48,00:04,+55
-01482-03-15,N,0.973,-0.024,01:06,+71,-,-,-,-,03:13,+49,-,-,-,-,05:20,+22
-01482-09-07,P,1.176,0.170,02:30,+39,04:00,+24,-,-,04:46,+15,-,-,05:32,+06,07:03,-13
-01481-02-02,N,0.974,-0.111,16:45,-16,-,-,-,-,19:05,+12,-,-,-,-,21:24,+42
-01480-01-22,T,2.262,1.172,15:34,-26,16:47,-13,18:05,+01,18:37,+08,19:09,+14,20:27,+31,21:40,+47
-01480-07-18,T,2.293,1.323,00:07,+39,01:05,+38,02:09,+33,02:48,+28,03:27,+23,04:31,+12,05:28,+02
-01479-01-10,T,2.210,1.162,18:44,+12,19:52,+26,21:06,+42,21:37,+49,22:07,+55,23:22,+71,00:29,+85
-01479-12-31,N,0.954,-0.041,05:42,+19,-,-,-,-,07:46,-05,-,-,-,-,09:49,-25
-01478-05-28,N,0.012,-1.057,03:49,+22,-,-,-,-,04:06,+19,-,-,-,-,04:23,+15
-01478-06-26,N,0.562,-0.502,17:02,-27,-,-,-,-,18:52,-05,-,-,-,-,20:43,+15
-01477-05-17,P,1.423,0.377,02:55,+33,04:21,+17,-,-,05:32,+03,-,-,06:42,-12,08:09,-31
-01477-11-10,T,2.202,1.185,22:59,+67,00:01,+76,01:12,+71,01:43,+65,02:15,+59,03:25,+45,04:28,+31
-01476-10-30,T,2.267,1.193,06:09,+04,07:19,-11,08:34,-26,09:07,-32,09:40,-37,10:54,-48,12:05,-53
-01475-04-25,P,1.441,0.491,00:50,+53,01:58,+47,-,-,03:09,+35,-,-,04:21,+22,05:29,+07
-01474-04-14,N,0.134,-0.810,19:31,+11,-,-,-,-,20:19,+21,-,-,-,-,21:08,+31
-01474-09-08,N,0.633,-0.415,15:34,-45,-,-,-,-,17:25,-21,-,-,-,-,19:17,+03
-01473-03-05,T,2.230,1.214,22:41,+58,23:45,+70,00:56,+74,01:30,+71,02:04,+65,03:15,+51,04:19,+38
-01473-08-29,T,2.017,1.029,00:42,+47,01:43,+43,03:07,+32,03:20,+30,03:33,+28,04:57,+13,05:59,+01
-01472-02-23,T,2.145,1.074,04:01,+41,05:13,+25,06:37,+07,06:59,+03,07:21,-02,08:46,-19,09:58,-32
-01472-08-17,T,2.357,1.401,16:05,-39,17:00,-28,18:01,-15,18:42,-06,19:24,+02,20:24,+14,21:19,+24
-01471-02-11,N,0.821,-0.266,04:54,+30,-,-,-,-,07:05,+02,-,-,-,-,09:17,-23
-01470-01-01,N,0.928,-0.105,16:30,-13,-,-,-,-,18:37,+11,-,-,-,-,20:45,+37
-01470-12-22,T,2.248,1.264,03:51,+42,04:49,+30,05:55,+16,06:30,+09,07:06,+02,08:11,-10,09:09,-20
-01469-12-11,T,2.215,1.244,19:25,+23,20:22,+35,21:27,+49,22:01,+57,22:35,+64,23:40,+78,00:37,+85
-01467-05-25,N,0.472,-0.533,19:52,+12,-,-,-,-,21:27,+29,-,-,-,-,23:02,+41
-01467-10-21,N,0.768,-0.319,02:27,+52,-,-,-,-,04:32,+26,-,-,-,-,06:38,-01
-01466-04-16,P,1.843,0.898,00:58,+57,01:57,+50,-,-,03:28,+35,-,-,04:58,+17,05:57,+04
-01466-10-10,P,1.995,0.893,01:07,+61,02:25,+50,-,-,04:07,+30,-,-,05:48,+08,07:06,-09
-01465-04-05,T,2.478,1.526,17:55,-08,18:49,+03,19:48,+16,20:34,+25,21:19,+35,22:18,+46,23:13,+55
-01465-09-29,T,2.517,1.451,02:05,+50,03:13,+38,04:18,+25,05:05,+15,05:51,+05,06:57,-09,08:05,-23
-01463-02-13,N,0.897,-0.186,00:14,+78,-,-,-,-,02:29,+63,-,-,-,-,04:45,+34
-01463-08-08,N,0.904,-0.049,16:42,-32,-,-,-,-,18:39,-07,-,-,-,-,20:35,+15
-01463-09-07,N,0.034,-0.930,02:54,+36,-,-,-,-,03:19,+32,-,-,-,-,03:44,+28
-01462-02-01,T,2.200,1.116,23:10,+68,00:23,+82,01:44,+74,02:11,+69,02:38,+63,03:59,+45,05:13,+29
-01461-01-22,T,2.248,1.206,02:50,+59,03:56,+44,05:08,+29,05:42,+22,06:16,+15,07:28,+00,08:34,-12
-01461-07-18,T,2.127,1.100,18:44,-06,19:51,+06,21:10,+20,21:34,+24,21:59,+27,23:18,+36,00:24,+39
-01460-01-11,N,0.979,-0.010,14:17,-34,-,-,-,-,16:21,-16,-,-,-,-,18:25,+06
-01460-07-06,N,0.701,-0.367,23:30,+36,-,-,-,-,01:32,+35,-,-,-,-,03:33,+20
-01460-12-01,P,0.990,0.013,19:05,+18,20:54,+41,-,-,21:07,+44,-,-,21:19,+47,23:09,+70
-01458-05-16,T,2.727,1.738,17:17,-20,18:16,-07,19:15,+05,20:06,+15,20:57,+24,21:56,+34,22:55,+41
-01458-11-10,T,2.272,1.194,14:29,-38,15:40,-26,16:55,-12,17:28,-05,18:01,+02,19:16,+18,20:26,+33
-01457-10-30,N,1.008,-0.098,15:23,-32,-,-,-,-,17:47,-03,-,-,-,-,20:10,+29
-01456-03-26,N,0.789,-0.175,18:38,+02,-,-,-,-,20:30,+26,-,-,-,-,22:23,+48
-01456-04-25,N,0.257,-0.687,02:47,+38,-,-,-,-,03:53,+26,-,-,-,-,04:59,+13
-01456-09-18,N,0.594,-0.453,23:38,+52,-,-,-,-,01:26,+52,-,-,-,-,03:14,+37
-01455-03-16,T,2.125,1.108,06:12,+08,07:17,-06,08:35,-22,09:00,-27,09:25,-32,10:43,-46,11:48,-54
-01454-08-29,T,2.425,1.467,00:21,+47,01:16,+46,02:15,+40,02:59,+34,03:42,+27,04:42,+16,05:36,+05
-01453-08-18,P,1.127,0.155,16:56,-28,18:23,-09,-,-,19:05,-01,-,-,19:48,+08,21:15,+24
-01452-01-13,N,0.904,-0.123,00:51,+86,-,-,-,-,02:57,+59,-,-,-,-,05:02,+32
-01452-07-08,N,1.020,-0.019,16:36,-33,-,-,-,-,18:54,-06,-,-,-,-,21:11,+19
-01451-01-01,T,2.230,1.250,12:36,-39,13:34,-37,14:39,-31,15:14,-27,15:49,-22,16:54,-11,17:52,+00
-01451-06-27,T,2.393,1.322,18:13,-12,19:24,+02,20:35,+15,21:17,+22,21:59,+28,23:11,+36,00:22,+39
-01451-12-22,T,2.222,1.252,04:19,+36,05:16,+24,06:21,+10,06:55,+04,07:30,-03,08:35,-15,09:31,-24
-01450-06-16,P,1.993,0.938,19:14,+02,20:27,+16,-,-,22:08,+31,-,-,23:50,+40,01:03,+39
-01450-12-11,N,0.957,-0.048,19:15,+20,-,-,-,-,21:20,+47,-,-,-,-,23:25,+74
-01449-05-07,N,0.304,-0.672,18:02,-10,-,-,-,-,19:17,+05,-,-,-,-,20:32,+20
-01449-06-06,N,0.622,-0.381,02:41,+31,-,-,-,-,04:28,+13,-,-,-,-,06:15,-08
-01447-04-16,T,2.601,1.649,01:29,+54,02:23,+47,03:21,+37,04:09,+27,04:58,+17,05:55,+05,06:50,-07
-01446-04-05,P,1.189,0.190,15:45,-36,17:15,-18,-,-,18:04,-08,-,-,18:53,+03,20:23,+22
-01446-09-28,P,1.258,0.252,19:11,+08,20:35,+26,-,-,21:30,+37,-,-,22:25,+47,23:50,+58
-01445-08-20,N,0.829,-0.127,00:55,+45,-,-,-,-,02:47,+35,-,-,-,-,04:40,+16
-01444-02-13,T,2.126,1.047,06:38,+07,07:52,-08,09:20,-24,09:37,-27,09:55,-30,11:23,-42,12:37,-47
-01444-08-08,T,2.102,1.121,15:42,-45,16:42,-32,17:56,-17,18:21,-11,18:47,-06,20:01,+08,21:01,+19
-01443-07-29,T,2.238,1.205,01:59,+35,03:05,+26,04:17,+15,04:51,+08,05:25,+02,06:38,-12,07:44,-26
-01442-01-21,P,1.014,0.030,22:45,+64,00:32,+86,-,-,00:51,+86,-,-,01:10,+83,02:56,+60
-01442-12-13,P,0.984,0.007,04:01,+39,05:54,+15,-,-,06:03,+13,-,-,06:12,+11,08:05,-11
-01441-06-07,P,1.120,0.078,16:25,-33,18:15,-10,-,-,18:48,-03,-,-,19:22,+03,21:12,+23
-01441-12-02,T,2.203,1.180,16:28,-14,17:31,-02,18:42,+13,19:13,+19,19:45,+26,20:56,+41,21:59,+55
-01440-05-27,T,2.581,1.595,00:26,+44,01:25,+41,02:25,+34,03:14,+27,04:02,+18,05:03,+07,06:02,-05
-01440-11-20,T,2.275,1.195,22:50,+68,00:01,+80,01:15,+73,01:49,+67,02:22,+60,03:37,+43,04:48,+28
-01439-05-16,P,1.715,0.769,15:39,-41,16:40,-29,-,-,18:06,-11,-,-,19:31,+07,20:33,+18
-01439-11-09,N,1.019,-0.088,23:28,+73,-,-,-,-,01:52,+64,-,-,-,-,04:16,+33
-01438-04-07,N,0.667,-0.297,02:22,+52,-,-,-,-,04:07,+31,-,-,-,-,05:51,+09
-01437-03-27,P,2.005,0.987,13:32,-57,14:39,-48,-,-,16:19,-30,-,-,17:58,-09,19:05,+05
-01437-09-19,P,1.926,0.937,17:24,-17,18:27,-04,-,-,20:00,+16,-,-,21:34,+35,22:36,+46
-01436-03-15,T,2.356,1.288,18:09,-03,19:20,+12,20:32,+27,21:12,+36,21:52,+44,23:04,+58,00:14,+68
