kavya,अ(m_a),स्(ṃ_s),आ(m_ā),प्(ṃ_p),च्(ṃ_c),उ(m_u),व्(ṃ_v),इ(m_i),न्(ṃ_n),ए(m_e),त्(ṃ_t),क्(ṃ_k),द्(ṃ_d),ब्(ṃ_b),म्(ṃ_m),श्(ṃ_ś),ग्(ṃ_g),य्(ṃ_y),ज्(ṃ_j),भ्(ṃ_bh),ध्(ṃ_dh),र्(ṃ_r),ह्(ṃ_h),ल्(ṃ_l),ई(m_ī),औ(m_au),ऊ(m_ū),घ्(ṃ_gh),ण्(ṃ_ṇ),ओ(m_o),ऋ(m_ṛ),ख्(ṃ_kh),छ्(ṃ_ch),ऐ(m_ai),फ्(ṃ_ph),ष्(ṃ_ṣ),झ्(ṃ_jh),ः(ṃ_ḥ),ठ्(ṃ_ṭh),ट्(ṃ_ṭ)
annaMbhatta-tarkasaMgraha,0.13636363636363635,0.11363636363636363,0.05303030303030303,0.12121212121212122,0.06818181818181818,0.030303030303030304,0.045454545454545456,0.05303030303030303,0.05303030303030303,0.03787878787878788,0.03787878787878788,0.030303030303030304,0.030303030303030304,0.007575757575757576,0.007575757575757576,0.03787878787878788,0.022727272727272728,0.022727272727272728,0.030303030303030304,0.007575757575757576,0.007575757575757576,0.022727272727272728,0.0,0.007575757575757576,0.007575757575757576,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhAravi-kirAtArjunIya,0.2250996015936255,0.0348605577689243,0.07768924302788845,0.05079681274900399,0.01195219123505976,0.08864541832669323,0.055776892430278883,0.11105577689243028,0.046314741035856574,0.026394422310756973,0.027390438247011952,0.02440239043824701,0.03137450199203187,0.022410358565737053,0.03137450199203187,0.01444223107569721,0.018924302788844622,0.00846613545816733,0.013446215139442231,0.014940239043824702,0.0099601593625498,0.009462151394422311,0.009462151394422311,0.0049800796812749,0.01045816733067729,0.00149402390438247,0.004482071713147411,0.00199203187250996,0.0,0.00398406374501992,0.00298804780876494,0.00099601593625498,0.00149402390438247,0.00149402390438247,0.00099601593625498,0.0,0.0,0.0,0.0,0.0
bhAsa-svapnavAsavadatta,0.15457413249211358,0.04100946372239748,0.07255520504731862,0.0694006309148265,0.01892744479495268,0.04100946372239748,0.07413249211356467,0.07255520504731862,0.04416403785488959,0.04889589905362776,0.03470031545741325,0.04574132492113565,0.050473186119873815,0.04416403785488959,0.02996845425867508,0.01892744479495268,0.02050473186119874,0.00473186119873817,0.011041009463722398,0.03943217665615142,0.0031545741324921135,0.00946372239747634,0.012618296529968454,0.0015772870662460567,0.0015772870662460567,0.0,0.0,0.0031545741324921135,0.022082018927444796,0.0,0.0,0.00473186119873817,0.0,0.0,0.0,0.0015772870662460567,0.0,0.0,0.0015772870662460567,0.0015772870662460567
bharata-nATyazAstra-1-1618-303335-37,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harSadeva-ratnAvalInATikA,0.06140350877192982,0.07017543859649122,0.043859649122807015,0.05701754385964912,0.043859649122807015,0.06140350877192982,0.04824561403508772,0.039473684210526314,0.04824561403508772,0.021929824561403508,0.04824561403508772,0.05263157894736842,0.043859649122807015,0.03508771929824561,0.04824561403508772,0.013157894736842105,0.03070175438596491,0.021929824561403508,0.03508771929824561,0.03070175438596491,0.013157894736842105,0.03508771929824561,0.021929824561403508,0.013157894736842105,0.0043859649122807015,0.0,0.0,0.0,0.02631578947368421,0.0,0.0043859649122807015,0.017543859649122806,0.0,0.0043859649122807015,0.0,0.0,0.0043859649122807015,0.0,0.0,0.0
jayadeva-gItagovinda,0.5654596100278552,0.0,0.027855153203342618,0.0,0.0,0.12256267409470752,0.0,0.22562674094707522,0.0,0.05013927576601671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002785515320334262,0.0,0.005571030640668524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAlidAsa-abhijJAnazakuntala,0.2383177570093458,0.037383177570093455,0.09879839786381843,0.06675567423230974,0.014686248331108143,0.0540720961281709,0.03404539385847797,0.08544726301735647,0.04672897196261682,0.05540720961281709,0.04672897196261682,0.03404539385847797,0.02336448598130841,0.024699599465954607,0.03271028037383177,0.014018691588785047,0.014018691588785047,0.012683578104138851,0.00801068090787717,0.016688918558077435,0.0026702269692923898,0.012016021361815754,0.006675567423230975,0.00801068090787717,0.0053404539385847796,0.0,0.0,0.0,0.0,0.0,0.0013351134846461949,0.0026702269692923898,0.0013351134846461949,0.0006675567423230974,0.0006675567423230974,0.0,0.0,0.0,0.0,0.0
kAlidAsa-kumArasaMbhava,0.23926940639269406,0.047488584474885846,0.12146118721461187,0.0547945205479452,0.019178082191780823,0.06666666666666667,0.04657534246575343,0.0776255707762557,0.034703196347031964,0.042922374429223746,0.03561643835616438,0.029223744292237442,0.021917808219178082,0.017351598173515982,0.034703196347031964,0.011872146118721462,0.0182648401826484,0.012785388127853882,0.0036529680365296802,0.006392694063926941,0.0027397260273972603,0.011872146118721462,0.0091324200913242,0.0045662100456621,0.010958904109589041,0.0,0.0027397260273972603,0.0009132420091324201,0.0,0.0018264840182648401,0.0027397260273972603,0.0018264840182648401,0.0009132420091324201,0.0045662100456621,0.0027397260273972603,0.0,0.0,0.0,0.0,0.0
kAlidAsa-meghadUta,0.20221606648199447,0.04986149584487535,0.07479224376731301,0.04709141274238227,0.019390581717451522,0.04986149584487535,0.0443213296398892,0.036011080332409975,0.038781163434903045,0.0332409972299169,0.07479224376731301,0.04709141274238227,0.0332409972299169,0.036011080332409975,0.06371191135734072,0.019390581717451522,0.0221606648199446,0.030470914127423823,0.008310249307479225,0.01662049861495845,0.00554016620498615,0.0110803324099723,0.013850415512465374,0.008310249307479225,0.002770083102493075,0.0,0.0,0.0,0.0,0.0,0.0,0.00554016620498615,0.0,0.002770083102493075,0.002770083102493075,0.0,0.0,0.0,0.0,0.0
kAlidAsa-raghuvaMza,0.2565359477124183,0.0494281045751634,0.1343954248366013,0.049836601307189546,0.01838235294117647,0.06290849673202614,0.03880718954248366,0.07312091503267974,0.03022875816993464,0.0392156862745098,0.0392156862745098,0.025735294117647058,0.02042483660130719,0.01715686274509804,0.026143790849673203,0.01511437908496732,0.011029411764705883,0.015522875816993464,0.007761437908496732,0.010620915032679739,0.0024509803921568627,0.015522875816993464,0.010620915032679739,0.004901960784313725,0.009395424836601307,0.0012254901960784314,0.0028594771241830064,0.0,0.0004084967320261438,0.0008169934640522876,0.004901960784313725,0.0,0.0016339869281045752,0.0028594771241830064,0.0004084967320261438,0.0004084967320261438,0.0,0.0,0.0,0.0
