kavya,m_a,m_ai,m_au,m_e,m_i,m_o,m_u,m_ā,m_ī,m_ū,m_ṛ,m_ṝ,ṃ_b,ṃ_bh,ṃ_c,ṃ_ch,ṃ_d,ṃ_dh,ṃ_g,ṃ_gh,ṃ_h,ṃ_j,ṃ_jh,ṃ_k,ṃ_kh,ṃ_l,ṃ_m,ṃ_n,ṃ_p,ṃ_ph,ṃ_r,ṃ_s,ṃ_t,ṃ_th,ṃ_v,ṃ_y,ṃ_ñ,ṃ_ś,ṃ_ḍ,ṃ_ḍh,ṃ_ḥ,ṃ_ṃ,ṃ_ṅ,ṃ_ṇ,ṃ_ṣ,ṃ_ṭ,ṃ_ṭh
108-buddhist-stotras,10,1,1,1,0,1,6,9,1,0,0,0,2,2,3,0,1,0,1,0,3,1,0,2,1,0,3,8,5,1,1,7,2,0,3,1,0,2,0,0,0,0,0,0,0,0,0
AGgirasasmRti,62,0,2,12,2,0,4,15,0,0,0,0,95,74,146,0,91,20,47,4,27,30,0,146,1,13,66,115,261,4,16,230,293,0,174,87,0,76,0,0,0,0,0,0,9,0,0
AdizeSa-paramArthasAra,18,1,0,8,12,0,6,5,0,0,0,0,4,2,0,0,2,0,1,0,0,3,0,3,0,0,1,5,7,0,0,4,2,0,6,4,0,3,0,0,0,0,0,0,0,0,0
AdyanAtha-anuttaraprakAzapaJcAzikA,7,0,0,4,6,0,2,2,2,1,0,0,3,2,1,0,0,0,1,0,0,1,0,0,0,1,2,1,2,0,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
AlambanaparIkSA,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AnandabhaTTa-vallAlacarita,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anandakanda,216,2,2,61,62,6,66,107,8,1,2,0,728,553,1347,29,886,201,460,66,345,279,0,1215,125,255,701,515,1403,37,487,1454,1452,0,996,233,0,537,9,6,0,0,0,0,46,29,0
Anandavardhana-dhvanyAloka-comm,65,0,2,35,35,0,11,10,0,1,0,0,48,35,52,2,51,21,36,6,27,25,0,50,4,30,31,62,66,6,33,59,64,0,68,56,0,37,0,0,0,0,0,0,1,0,0
Anandavardhana-dhvanyAloka,269,1,10,144,98,1,85,69,1,1,0,0,31,16,74,3,39,20,21,5,22,8,0,58,1,10,23,71,114,0,31,93,105,0,102,55,0,43,0,0,0,0,0,0,0,0,0
ApastambadharmasUtra,46,1,0,24,32,0,16,25,0,0,2,0,21,13,39,0,18,7,11,0,10,7,0,16,1,10,17,19,34,3,7,30,28,0,36,16,0,22,0,0,0,0,0,0,0,0,0
ApastambagRhyasUtra-comm,6,0,0,1,3,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,1,1,0,1,0,0,2,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ApastambazulbasUtra,28,0,0,9,11,0,21,16,0,1,0,0,9,7,17,1,10,0,1,0,0,4,0,16,0,4,4,9,25,0,5,10,13,0,10,4,0,5,0,0,0,0,0,0,3,0,0
AryAnityatAsUtra,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,1,0,1,0,0,6,7,6,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AryabhaTa-AryabhaTIya-comm,409,0,1,210,210,0,145,197,1,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AryabhaTa-AryabhaTIya,22,0,0,2,5,0,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aryadeva-caryAmelAvaNapradIpa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AryazUra-jAtakamAlA-1-15,419,3,2,99,166,3,136,136,13,9,1,0,50,20,63,0,89,19,19,0,24,18,0,66,1,11,63,86,110,2,27,122,76,0,82,35,0,41,0,0,0,0,0,0,0,0,0
AryazUra-jAtakamAlA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AryazUra-pAramitAsamAsa,27,0,0,7,2,0,4,12,2,0,0,0,1,1,3,0,4,2,1,0,2,0,0,4,0,0,2,5,3,0,0,2,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0
