Work,Cluster,Group,WorkUrl
sa_abhinanda-kAdambarIkathAsAra,1,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_abhinanda-kAdambarIkathAsAra.txt
sa_abhinanda-rAmacaritamahAkAvye,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_abhinanda-rAmacaritamahAkAvye.txt
sa_amaru-amaruzataka,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_amaru-amaruzataka.txt
sa_AnandabhaTTa-vallAlacarita,1,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_AnandabhaTTa-vallAlacarita.txt
sa_appayadIkSita-vairAgyazatakam,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_appayadIkSita-vairAgyazatakam.txt
sa_azvaghoSa-buddhacarita,1,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_azvaghoSa-buddhacarita.txt
sa_azvaghoSa-buddhacarita-alt,1,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_azvaghoSa-buddhacarita-alt.txt
sa_azvaghoSa-saundarAnanda-edmatsunami,1,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_azvaghoSa-saundarAnanda-edmatsunami.txt
sa_azvaghoSa-saundarAnanda,1,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_azvaghoSa-saundarAnanda.txt
sa_bANa-harSacarita,1,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bANa-harSacarita.txt
sa_bANa-harSacaritapariziSTa,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bANa-harSacaritapariziSTa.txt
sa_bhallaTa-bhallaTazataka,0,Kavya,https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bhallaTa-bhallaTazataka.txt
