Group	Work	WorkUrl
Samhita	sa_Rgveda-edAufrecht	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_Rgveda-edAufrecht.txt
Samhita	sa_RgvedasaMhitApadapATha	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_RgvedasaMhitApadapATha.txt
Samhita	sa_RgvedakhilAni	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_RgvedakhilAni.txt
Samhita	sa_paippalAdasaMhitA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_paippalAdasaMhitA.txt
Samhita	sa_sAmavedasaMhitA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_sAmavedasaMhitA.txt
Brahmana	sa_gopathabrAhmaNa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_gopathabrAhmaNa.txt
Brahmana	sa_gopathabrAhmaNa-1	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_gopathabrAhmaNa-1.txt
Brahmana	sa_kauSItakibrAhmaNa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kauSItakibrAhmaNa.txt
Brahmana	sa_paJcaviMzabrAhmaNa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_paJcaviMzabrAhmaNa.txt
Aranyaka	sa_zaGkhAyana-AraNyaka	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zaGkhAyana-AraNyaka.txt
Upanisad	sa_aitareyopaniSad-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_aitareyopaniSad-comm.txt
Upanisad	sa_bRhadAraNyakopaniSadkANva-recension-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bRhadAraNyakopaniSadkANva-recension-comm.txt
Upanisad	sa_chAndogyopaniSad-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_chAndogyopaniSad-comm.txt
Upanisad	sa_IzopaniSad-or-IzAvAsyopaniSadkANva-recension-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_IzopaniSad-or-IzAvAsyopaniSadkANva-recension-comm.txt
Upanisad	sa_kathopaniSad	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kathopaniSad.txt
Upanisad	sa_mANDUkyopaniSad-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mANDUkyopaniSad-comm.txt
Upanisad	sa_mANDUkyopaniSatkArikA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mANDUkyopaniSatkArikA.txt
Upanisad	sa_mANDUkyopaniSad-alt	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mANDUkyopaniSad-alt.txt
Upanisad	sa_praznopaniSad-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_praznopaniSad-comm.txt
Upanisad	sa_zivasaMkalpopaniSad	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zivasaMkalpopaniSad.txt
Upanisad	sa_zvetAzvataropaniSad	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zvetAzvataropaniSad.txt
Upanisad	sa_zvetAzvataropaniSad-alt	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zvetAzvataropaniSad-alt.txt
Upanisad	sa_taittirIyopaniSad-zaMkarabhASya	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_taittirIyopaniSad-zaMkarabhASya.txt
Upanisad	sa_brahmabindUpaniSad	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_brahmabindUpaniSad.txt
Upanisad	sa_garbhopaniSad	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_garbhopaniSad.txt
Upanisad	sa_kaivalyopaniSad	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kaivalyopaniSad.txt
Upanisad	sa_nAdabindUpaniSad	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_nAdabindUpaniSad.txt
Upanisad	sa_zira-upaniSad	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zira-upaniSad.txt
Vedanga	sa_AzvalAyanazrautasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_AzvalAyanazrautasUtra.txt
Vedanga	sa_zAGkhAyanazrautasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zAGkhAyanazrautasUtra.txt
Vedanga	sa_vaitAnazrautasUtra-vaitAnasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_vaitAnazrautasUtra-vaitAnasUtra.txt
Vedanga	sa_ApastambazulbasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_ApastambazulbasUtra.txt
Vedanga	sa_ApastambagRhyasUtra-comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_ApastambagRhyasUtra-comm.txt
Vedanga	sa_AzvalAyanagRhyasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_AzvalAyanagRhyasUtra.txt
Vedanga	sa_jaiminIyagRhyasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_jaiminIyagRhyasUtra.txt
Vedanga	sa_kauzikasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kauzikasUtra.txt
Vedanga	sa_kezava-kauzikapaddhati	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kezava-kauzikapaddhati.txt
Vedanga	sa_kauthumagRhyasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kauthumagRhyasUtra.txt
Vedanga	sa_mAnavagRhyasUtra-maitrAyaNIyamAnavagRhyasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mAnavagRhyasUtra-maitrAyaNIyamAnavagRhyasUtra.txt
Vedanga	sa_zAGkhAyanagRhyasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zAGkhAyanagRhyasUtra.txt
Vedanga	sa_vArAhagRhyasUtra	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_vArAhagRhyasUtra.txt
Vedanga	sa_atharvaprAyazcittAni	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_atharvaprAyazcittAni.txt
Vedanga	sa_atharvavedapariziSTas	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_atharvavedapariziSTas.txt
Vedanga	sa_dantyoSThavidhi	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_dantyoSThavidhi.txt
Vedanga	sa_yAska-nirukta	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_yAska-nirukta.txt
Vedanga	sa_RgvidhAna	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_RgvidhAna.txt
Mahabharata	sa_bhagavadgItA-4comm	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bhagavadgItA-4comm.txt
Mahabharata	sa_nArAyaNIya	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_nArAyaNIya.txt
Mahabharata	sa_harivaMza	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_harivaMza.txt
Mahabharata	sa_harivaMza-app1	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_harivaMza-app1.txt
Ramayana	sa_rAmAyaNa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_rAmAyaNa.txt
Ramayana	sa_vAlmIki-rAmAyaNa-rev-2-3	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_vAlmIki-rAmAyaNa-rev-2-3.txt
Ramayana	sa_vAlmIki-rAmAyaNa-southern-2	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_vAlmIki-rAmAyaNa-southern-2.txt
Ramayana	sa_agnipurANa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_agnipurANa.txt
Ramayana	sa_bhAgavatapurANa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bhAgavatapurANa.txt
Ramayana	sa_bhAgavatapurANa-10	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_bhAgavatapurANa-10.txt
Ramayana	sa_brahmapurANa-1-246	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_brahmapurANa-1-246.txt
Ramayana	sa_brahmANDapurANa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_brahmANDapurANa.txt
Ramayana	sa_devIgItA	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_devIgItA.txt
Ramayana	sa_garuDapurANa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_garuDapurANa.txt
Ramayana	sa_kUrmapurANa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_kUrmapurANa.txt
Ramayana	sa_liGgapurANa1-108	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_liGgapurANa1-108.txt
Ramayana	sa_liGgapurANa2	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_liGgapurANa2.txt
Ramayana	sa_mArkaNDeyapurANa1-93	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_mArkaNDeyapurANa1-93.txt
Ramayana	sa_matsyapurANa1-176	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_matsyapurANa1-176.txt
Ramayana	sa_nAradapurANa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_nAradapurANa.txt
Ramayana	sa_narasiMhapurANa	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_narasiMhapurANa.txt
Ramayana	sa_zivapurANabooks-1-and-7	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_zivapurANabooks-1-and-7.txt
Ramayana	sa_skandapurANa1-31	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_skandapurANa1-31.txt
Ramayana	sa_skandapurANa-revAkhaNDa-rks	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_skandapurANa-revAkhaNDa-rks.txt
Ramayana	sa_vAmanapurANa1-69	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_vAmanapurANa1-69.txt
