kavya,a,ā,i,ī,u,ū,ṛ,e,ai,o,au,k,kh,g,gh,ṅ,c,ch,j,jh,ñ,ṭ,ṭh,ḍ,ḍh,ṇ,t,th,d,dh,n,p,ph,b,bh,m,y,r,l,v,ś,ṣ,s,h
aryabhatiya,0.12727272727272726,0.004545454545454545,0.013636363636363636,0.0,0.031818181818181815,0.0,0.022727272727272728,0.004545454545454545,0.0,0.0,0.0,0.05454545454545454,0.00909090909090909,0.045454545454545456,0.00909090909090909,0.0,0.05454545454545454,0.00909090909090909,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06363636363636363,0.0,0.04090909090909091,0.013636363636363636,0.022727272727272728,0.05909090909090909,0.004545454545454545,0.01818181818181818,0.04090909090909091,0.03636363636363636,0.04090909090909091,0.013636363636363636,0.01818181818181818,0.05454545454545454,0.04090909090909091,0.004545454545454545,0.12727272727272726,0.004545454545454545
ashtanga_hrud,0.0007306202966318405,0.00021918608898955212,0.0,0.0,0.0001461240593263681,7.306202966318405e-05,7.306202966318405e-05,0.0,0.0,0.0,0.0,0.07759187550230146,0.003287791334843282,0.0242565938481771,0.011105428508803975,0.0,0.09183897128662234,0.0032147293051800977,0.018923065682764667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0943230802951706,0.0,0.041791480967341275,0.008036823262950245,0.041353108789362165,0.11368451815591438,0.00343391539416965,0.019945934098049244,0.018850003653101483,0.058230437641557685,0.02995543216190546,0.026083144589756704,0.015489150288595018,0.11054285088039746,0.05150873091254475,0.0019726748009059694,0.10769343172353328,0.025644772411777598
bharata_natya,0.08017872657316619,0.026560754623308924,0.02432667245873154,0.0017376194613379669,0.02805014273302718,0.002234082164577386,0.0013652724339084025,0.04828099789003351,0.0,0.0004964627032394191,0.000620578379049274,0.06168549087749783,0.0014893881097182574,0.018369120019858506,0.0021099664887675312,0.0,0.09432791361548963,0.002482313516197096,0.010673948119647511,0.00012411567580985477,0.0,0.0,0.0,0.00024823135161970955,0.0,0.0,0.10760829092714409,0.0,0.027305448678168052,0.0033511232468660794,0.052997393570807995,0.09209383145091225,0.0008688097306689834,0.016010922179471268,0.033263001117041086,0.021347896239295023,0.026064291920069503,0.01166687352612635,0.009681022713168673,0.07049770385999751,0.018741467047288074,0.0017376194613379669,0.08439865955070125,0.017003847585950107
bhasa_svapna,0.04196519959058342,0.017400204708290685,0.0255885363357216,0.0010235414534288639,0.011258955987717503,0.0,0.0,0.01330603889457523,0.0,0.0,0.0,0.09211873080859775,0.01842374616171955,0.02968270214943705,0.0030706243602865915,0.0,0.02968270214943705,0.0,0.019447287615148412,0.0,0.0,0.0,0.0010235414534288639,0.0,0.0,0.03582395087001024,0.0511770726714432,0.0,0.05322415557830092,0.00511770726714432,0.05834186284544524,0.11463664278403275,0.0,0.012282497441146366,0.07881269191402251,0.06141248720573183,0.00511770726714432,0.022517911975435005,0.0040941658137154556,0.08188331627430911,0.02456499488229273,0.0010235414534288639,0.07062436028659161,0.015353121801432957
gaarg,0.00423728813559322,0.003389830508474576,0.0006779661016949153,0.0,0.0032203389830508474,0.00033898305084745765,0.0005084745762711864,0.0015254237288135593,0.00016949152542372882,0.0,0.0,0.07050847457627119,0.0005084745762711864,0.02745762711864407,0.003728813559322034,0.0,0.11694915254237288,0.001694915254237288,0.024915254237288135,0.0,0.0,0.00016949152542372882,0.0,0.00033898305084745765,0.0,0.0,0.09440677966101695,0.0,0.045932203389830506,0.009152542372881356,0.05457627118644068,0.09932203389830509,0.003728813559322034,0.020847457627118645,0.04440677966101695,0.03661016949152542,0.04016949152542373,0.01830508474576271,0.007457627118644068,0.12423728813559322,0.0388135593220339,0.001694915254237288,0.08593220338983051,0.014067796610169492
gita_govinda,0.2437745740498034,0.019659239842726082,0.09305373525557012,0.001310615989515072,0.05111402359108781,0.002621231979030144,0.0,0.015727391874180863,0.0,0.0,0.0,0.04980340760157274,0.001310615989515072,0.04325032765399738,0.002621231979030144,0.0,0.02621231979030144,0.001310615989515072,0.023591087811271297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05111402359108781,0.0,0.02621231979030144,0.011795543905635648,0.020969855832241154,0.05897771952817824,0.0,0.007863695937090432,0.019659239842726082,0.0327653997378768,0.01834862385321101,0.03145478374836173,0.00655307994757536,0.057667103538663174,0.022280471821756225,0.0,0.04456094364351245,0.014416775884665793
kiratarjuniya,0.1847903340440654,0.05970149253731343,0.08031272210376687,0.007462686567164179,0.06432125088841507,0.0028429282160625444,0.0028429282160625444,0.018834399431414357,0.0010660980810234541,0.0028429282160625444,0.0014214641080312722,0.033404406538734895,0.0014214641080312722,0.020966595593461264,0.0021321961620469083,0.0,0.013148542999289269,0.0014214641080312722,0.020966595593461264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03837953091684435,0.0,0.028429282160625444,0.012437810945273632,0.06396588486140725,0.06965174129353234,0.0017768301350390902,0.010305614783226724,0.02025586353944563,0.04193319118692253,0.01457000710732054,0.013148542999289269,0.007462686567164179,0.07746979388770434,0.01812366737739872,0.0,0.0472636815920398,0.014925373134328358
kumarasambhava,0.17737003058103976,0.0801223241590214,0.05321100917431193,0.0061162079510703364,0.04525993883792049,0.001834862385321101,0.004281345565749235,0.02874617737003058,0.0024464831804281344,0.0006116207951070336,0.0,0.045871559633027525,0.0030581039755351682,0.019571865443425075,0.0006116207951070336,0.0,0.03058103975535168,0.0006116207951070336,0.009785932721712538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04954128440366973,0.0,0.02874617737003058,0.004281345565749235,0.05137614678899083,0.0782874617737003,0.001834862385321101,0.014678899082568808,0.009174311926605505,0.044648318042813454,0.020795107033639144,0.010397553516819572,0.004892966360856269,0.06788990825688074,0.02018348623853211,0.0,0.062385321100917435,0.020795107033639144
madhuravijaya,0.044169611307420496,0.022968197879858657,0.02120141342756184,0.0017667844522968198,0.014134275618374558,0.0,0.0,0.007067137809187279,0.0035335689045936395,0.0,0.0,0.08833922261484099,0.0017667844522968198,0.028268551236749116,0.0035335689045936395,0.0,0.030035335689045935,0.0,0.022968197879858657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053003533568904596,0.0,0.04770318021201413,0.012367491166077738,0.09187279151943463,0.09010600706713781,0.0017667844522968198,0.015901060070671377,0.024734982332155476,0.06890459363957598,0.02120141342756184,0.03180212014134275,0.007067137809187279,0.08657243816254417,0.0353356890459364,0.0,0.08480565371024736,0.037102473498233215
meghadutam,0.14796747967479676,0.04390243902439024,0.024390243902439025,0.0016260162601626016,0.02926829268292683,0.0,0.0,0.01788617886178862,0.0016260162601626016,0.0,0.0,0.05203252032520325,0.0065040650406504065,0.01951219512195122,0.0016260162601626016,0.0,0.022764227642276424,0.004878048780487805,0.01951219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06829268292682927,0.0,0.03902439024390244,0.00975609756097561,0.06829268292682927,0.07479674796747968,0.0016260162601626016,0.016260162601626018,0.013008130081300813,0.06341463414634146,0.04715447154471545,0.02113821138211382,0.00975609756097561,0.055284552845528454,0.02926829268292683,0.0,0.07317073170731707,0.016260162601626018
mrcc_dev,0.0407185628742515,0.010778443113772455,0.02215568862275449,0.0005988023952095808,0.01437125748502994,0.0,0.0,0.012574850299401197,0.0,0.0,0.0,0.06826347305389222,0.008982035928143712,0.05389221556886228,0.0017964071856287425,0.0,0.03473053892215569,0.0029940119760479044,0.037125748502994015,0.0,0.0,0.0,0.0,0.0,0.0,0.02694610778443114,0.07305389221556886,0.0,0.0562874251497006,0.010179640718562874,0.05808383233532934,0.12155688622754492,0.0011976047904191617,0.017964071856287425,0.045508982035928146,0.055089820359281436,0.011377245508982036,0.016766467065868262,0.004790419161676647,0.06706586826347305,0.029940119760479042,0.0005988023952095808,0.07664670658682635,0.017964071856287425
