id,num,naks,num_stars,elatj2k,elongj2k
 1,N01-Ash,अश्विनी 01,2,9.225697014068965,35.81666052881016
 2,N02-Bha,भरणी 02,4,4.078477431455017,44.13966794581587
 3,N03-Kri,कृत्तिका 03,14,4.1454572078019725,59.86915936926456
 4,N04-Roh,रोहिणी 04,10,-4.71536985633739,67.77902921842244
 5,N05-Mrg,मृगशीर्षा 05,6,-14.665221537330952,82.75310047644557
 6,N06-Ard,आर्द्रा 06,2,-16.026936659732776,88.75477467529156
 7,N07-Pun,पुनर्वसू 07,2,8.388601553008728,111.72582240607787
 8,N08-Pus,पुष्या 08,2,0.07587429052202851,128.72227716017136
 9,N09-Asl,आश्लेषा 09,10,-12.663882232597548,132.147049476374
10,N10-Mag,मघा 10,12,8.012215880445194,146.1748241315739
11,N11-PPal,पूर्वफल्गुनी 11,2,12.00361748058467,162.3700782733226
12,N12-UPal,उत्तरफल्गुनी 12,2,14.78705730445637,170.29440963007528
13,N13-Has,हस्ता 13,10,-17.233139724220198,193.0908907556282
14,N14-Chi,चित्रा 14,2,-2.054772371577263,203.84121571942566
15,N15-Swa,स्वाती 15,2,30.72287553071337,204.23328280475545
16,N16-Vis,विशाखा 16,2,0.33252261694757196,225.08221340585337
17,N17-Anu,अनुराधा 17,8,-1.4458548875000168,243.118120515086
18,N18-Jye,ज्येष्ठा 18,2,-4.570100637949713,249.76227645817127
19,N19-Mul,मूला 19,2,-16.71688178653705,265.0925990971915
20,N20-PAsh,पूर्व्वाषाढा 20,8,-6.663466814649782,274.30912656025964
21,N21-UAsh,उत्तराषाढा 21,8,-4.918202843755601,282.75967942024863
22,N22-Shr,श्रवणा 22,6,29.06831345085359,301.7142064678075
23,N23-Dha,धनिष्ठा 23,10,31.73145248795023,317.05360624353176
24,N24-Sha,शतभिषक् 24,6,3.9860785866207316,339.23542637250495
25,N25-PBha,पूर्वभाद्रपदा 25,2,25.273340603370023,356.4306991249849
26,N26-UBha,उत्तरभाद्रपदा 26,2,19.139596256715755,11.732392720144524
27,N27-Rev,रेवती 27,2,-9.060997050327229,29.378860804909266
28,N28-Abh,अभिजित् ∆,6,61.49097813906146,287.35013418135577
