oid,V,ra,dec,Main identifier,ids
1502055,2.06,2.0969161856756404,29.090431118059698,* alf And,HIP    677::NAME Alpheratz::NAME Sirrah::uvby98 100000358::WEB   113::2MASS J00082326+2905253::LSPM J0008+2905::ASCC  647497::USNO-B1.0 1190-00002295::PLX   12::SBC9 4::* alf And::* del Peg::*  21 And::ADS    94 A::AG+28   11::BD+28     4::CCDM J00083+2905A::CSI+28     4  1::EUVE J0008+29.0::FK5    1::GC   127::GCRV    62::GEN# +1.00000358::HD    358::HGAM      2::HIC    677::HIP    677::HR    15::IDS 00032+2832 A::IRC +30004::JP11   345::LTT 10039::N30   16::NAME Alpheratz::NAME Sirrah::NLTT   346::PMC 90-93     1::PPM  89441::ROT    58::SAO  73765::SBC7     4::SKY#   244::SRS  30001::TD1    31::UBV M   7157::UBV      52::V* alf And::YPAC   1::[HFE83]    4::ALS 16723::WDS J00084+2905Aa,Ab::TYC 1735-3180-1::GSC 01735-03180::UCAC3 239-808::Renson 50::AKARI-IRC-V1 J0008233+290524::IRAS 00057+2848::** MKT   11::WDS J00084+2905A::** H  532A::** JNN    1A
1407663,3.82,30.511748813375274,2.763761377219602,* alf Psc,HIP   9487::NAME Alrescha::WDS J02020+0246AB::* alf Psc::AAVSO 0156+02::ADS  1615 AB::BD+02   317::CCDM J02020+0246AB::CSI+02   317  3::GEN# +1.00012447J::HD  12446J::HIC   9487::HIP   9487::IDS 01569+0217 AB::JP11   577::NSV   705::TD1  1179::UBV    2056::UBV M   8620::V* alf Psc::IDS 02020+0246::** STF  202::PMSC 01569+0217::AKARI-IRC-V1 J0202028+024549::IRAS 01594+0231::WISE J020202.81+024549.5::IRAS F01594+0231::2MASS J02020277+0245495::NAME Alrescha::uvby98 100012447
1495651,2.01,31.79335709957655,23.46241755020095,* alf Ari,HIP   9884::NAME Hamal::WEB  2075::2MASS J02071038+2327447::PLX  436::LSPM J0207+2327::ASCC  744576::USNO-B1.0 1134-00030670::*  13 Ari::* alf Ari::AG+23  175::BD+22   306::CSV 100163::FK5   74::GC  2538::GCRV  1160::GEN# +1.00012929::GJ    84.3::GJ  9072::HD  12929::HIC   9884::HIP   9884::HR   617::IRAS 02043+2313::IRC +20038::JP11   587::LTT 10711::N30  431::NAME Hamal::NLTT  7032::NSV   725::PMC 90-93    52::PPM  91373::RAFGL 5063::ROT   295::SAO  75151::SKY#  3115::SRS  30074::SV* ZI   111::TD1  1227::UBV    2137::UBV M   8692::USNO 800::[B10]   447::uvby98 100012929::PLX  436.00::TYC 1758-2416-1::GSC 01758-02416
1538201,3.594,42.49597183583333,27.26050722722222,*  41 Ari,HIP  13209::NAME Bharani::NAME Bharani::WEB  2655::Gaia DR2 116339982465090048::2MASS J02495902+2715381::*  41 Ari::ADS  2159 A::AG+27  302::BD+26   471::CCDM J02499+2715A::CSI+26   471  1::CSV 100234::FK5  100::GC  3391::GCRV  1585::GEN# +1.00017573A::GSC 01789-01490::HD  17573::HGAM    174::HIC  13209::HIP  13209::HR   838::IDS 02441+2651 A::JP11   704::N30  578::NSV   951::PLX  575::PMC 90-93    72::PPM  92012::ROT   382::SAO  75596::SKY#  4253::SRS  30100::SV* ZI   156::TD1  1691::TYC 1789-1490-1::UBV    2759::UBV M   9169::YPAC   7::[HFE83]  178::WDS J02500+2716Aa,Ab::** MCA   10::** STT   47A::WDS J02500+2716A::IRAS 02470+2703::AKARI-IRC-V1 J0249590+271536::WISE J024959.08+271536.8::WISEA J024959.11+271536.9
676410,2.87,56.871152303749994,24.105135651944444,* eta Tau,HIP  17702::NAME Alcyone::WEB  3382::Gaia DR2 66714384141781760::2MASS J03472908+2406184::PLX  821::Cl* Melotte   22      K      60::Cl* Melotte   22     VM      32::Cl* Melotte   22    MSH     194::Cl* Melotte   22    MSK     141::Cl* Melotte   22    TRU     414::Cl* Melotte   22    WCZ     236::[JE82]  124::* eta Tau::*  25 Tau::AG+23  323::BD+23   541::BDS  1875 A::CCDM J03474+2407A::CEL    344::EM* MWC   74::FK5  139::GC  4541::GCRV  2135::GEN# +5.20221432::GSC 01800-02202::HD  23630::HGAM    274::HIC  17702::HIP  17702::HR  1165::IDS 03415+2348 A::IRAS 03445+2357::IRC +20063::JP11  4669::JP11  4680::N30  776::NAME Alcyone::PMC 90-93   100::PPM  92898::ROT  3785::SAO  76199::SKY#  5771::SRS  30139::TYC 1800-2202-1::UBV    3639::VDB  23::XZ   4911::[B10]   869::EPIC 200007767::[KSP2003] G166.6680-23.4550::[SCG94] O 165::[SCG94] X 180::uvby98 520221432::Cl Melotte   22  1432::ALS 15094::1E 0344.5+2357::[KSP2003] J034729.04+240619.4::WDS J03475+2406A::Cl* Melotte   22    HII    1432::** STF 4008A::** STFA    8A
719377,0.86,68.9801627900154,16.5093023507718,* alf Tau,HIP  21421::NAME Aldebaran::uvby98 100029139::WEB  4111::2MASS J04355524+1630331::PLX 1014::LSPM J0435+1630::ASCC  838711::USNO-B1.0 1065-00048822::* alf Tau::*  87 Tau::ADS  3321 A::AG+16  400::BD+16   629::CCDM J04359+1631A::CEL    436::CSI+16   629  1::CSV   6116::FK5  168::GC  5605::GCRV  2689::GEN# +1.00029139::GJ   171.1 A::GJ  9159 A::HD  29139::HIC  21421::HIP  21421::HR  1457::IDS 04302+1619 A::IRAS 04330+1624::IRC +20087::JP11   898::LTT 11462::N30  962::NAME Aldebaran::NLTT 13584::PMC 90-93   119::PPM 120061::RAFGL  601::ROT   655::SAO  94027::SKY#  7128::SRS  30168::TD1  3349::UBV    4426::UBV M  10223::V* alf Tau::YZ  16  1233::[B10]  1077::TYC 1266-1416-1::GSC 01266-01416::WDS J04359+1631A::GAT 1331::** BU  550A::** BU 1031A::** STF 4002A
797122,3.66,83.78449002103218,9.934155874166667,* lam Ori,HIP  26207::NAME Heka::NAME Meissa::PLX 1271::* lam Ori::ADS  4179 AB::AG+09  550::BD+09   879::CCDM J05351+0956AB::CSI+09   879  2::CSV 100542::GC  6915::GEN# +1.00036861J::HD  36861J::HIC  26207::HIP  26207::IDS 05296+0952 AB::PPM 149166::SAO 112921::UBV    5449::EUVE J0535+09.9::WDS J05351+0956AB::** STF  738AB::2MASS J05350831+0956036::AAVSO 0529+09::NSV  2240::NAME Heka::NAME Meissa::uvby98 100036861
843879,0.42,88.79293899077537,7.407063995272694,* alf Ori,HIP  27989::NAME Betelgeuse::WEB  5485::2MASS J05551028+0724255::PLX 1362::*  58 Ori::* alf Ori::AAVSO 0549+07::ADS  4506 AP::AG+07  681::BD+07  1055::CCDM J05552+0724AP::CSI+07  1055  1::EIC   108::FK5  224::GC  7451::GCRV  3679::GEN# +1.00039801J::GSC 00129-01873::HD  39801::HIC  27989::HIP  27989::HR  2061::IRAS 05524+0723::IRC +10100::JP11  1282::N30 1266::NAME Betelgeuse::PMC 90-93   162::PPM 149643::RAFGL  836::SAO 113271::SKY#  9804::TD1  5587::TYC  129-1873-1::UBV   21314::V* alf Ori::YZ   7  2503::[LFO93] 0552+07::JCMTSE J055510.1+072426::PLX 1362.00::JCMTSF J055510.1+072426::WDS J05552+0724Aa,Ab::** H  639A::WDS J05552+0724Aa,Ac::WDS J05552+0724A::** KAR    1
1003999,1.14,116.32895777437875,28.02619889009357,* bet Gem,HIP  37826::NAME Pollux::WEB  7472::PLX 1826::LSPM J0745+2801::ASCC  674757::USNO-B1.0 1180-00191173::*  78 Gem::* bet Gem::2E  1872::ADS  6335 A::AG+28  833::BD+28  1463::CCDM J07454+2802A::CSI+28  1463  1::CSV 100892::CTI 074434.0+280331::Ci 20  437::FK5  295::GC 10438::GCRV  5166::GEN# +1.00062509J::GJ   286::HD  62509::HIC  37826::HIP  37826::HR  2990::IDS 07392+2816 A::IRAS 07422+2808::IRC +30194::JP11  1588::LFT  548::LHS  1945::LTT 12065::N30 1758::NLTT 18379::NSV  3712::PM 07423+2809::PMC 90-93   216::PPM  97924::RAFGL 1183::ROT  1249::SAO  79666::SKY# 14351::SRS  30295::SV* ZI   656::TD1 10866::UBV    7418::UBV M  13566::2MASS J07451891+2801340::PLX 1826.00::2E 0742.2+2808::1RXS J074519.3+280123::WDS J07453+2802A::TYC 1920-2194-1::uvby98 100062509::NAME Pollux
1110026,3.94,131.1712467108333,18.15430649861111,* del Cnc,HIP  42911::NAME Asellus Australis::WEB  8290::Gaia DR2 660136821288967296::PLX 2086::NAME Asellus Australis::ASCC  860185::LSPM J0844+1809::TYC 1396-2758-1::USNO-B1.0 1081-00199805::* del Cnc::*  47 Cnc::ADS  6967 A::AG+18  894::BD+18  2027::CCDM J08447+1809A::CSI+18  2027  1::FK5  326::GC 12022::GCRV  5768::GEN# +1.00074442::HD  74442::HIC  42911::HIP  42911::HR  3461::IDS 08390+1831 A::IRAS 08418+1820::IRC +20205::JP11  1709::LTT 12274::N30 2038::NLTT 20152::PMC 90-93   238::PPM 125682::RAFGL 1285::ROT  1374::SAO  98087::SKY# 16778::SRS  30326::TD1 12978::UBV    8443::UBV M  14644::YPAC  37::YZ  18  3502::2MASS J08444109+1809158::PLX 2086.00::WDS J08447+1809A::WDS J08447+1809Aa::WDS J08447+1809Aa,Ab::** TOK    3::** HJ  457A
