#	Paper	Year	Page	Pages
	TOC		1	1
1	A_nonlinear_system_under_combined_period.pdf	1986	2	14
2	Ancient_Indian_Astronomy_in_Vedic_Texts.pdf	2016	16	78
3	Application_of_principal_component_analy.pdf	1991	94	22
4	Archaeo_astronomical_significance_of_the.pdf	2012	116	7
5	Archaeo_astronomy_and_Ancient_Indian_Chr.pdf	2018	123	21
6	Cluster_analysis_of_rainfall_stations_of.pdf	1980	190	14
7	Comets_and_meteoritic_showers_in_the_r_g.pdf	2009	144	32
8	Comparison_of_Seismic_Qualification_Chal.pdf	2015	190	10
9	Concept_of_Probability_in_Sanskrit_Texts.pdf	2017	200	21
10	Description_of_rainfall_variability_in_B.pdf	2004	221	3
11	Dhruva_the_Ancient_Vedic_Hindu_Pole_Star.pdf	2011	224	17
12	Dynamic_response_of_a_beam_on_elastic_fo.pdf	1993	241	17
13	Earthquake_source_model_using_strong_mot.pdf	2001	258	15
14	Earthquakes_in_ancient_India.pdf	???	273	4
15	Effect_of_self_weight_and_vertical_accel.pdf	1971	277	10
16	Estimation_of_seismic_spectral_accelerat.pdf	2007	287	16
17	Forecasting_of_seasonal_monsoon_rainfall.pdf	2006	303	7
18	Indian_Heritage_of_Gurukula_System_Ethic.pdf	2021	310	27
19	Interview_with_Prof_RN_Iyengar.pdf	???	337	13
20	Intrinsic_mode_functions_and_a_strategy.pdf	???	350	20
21	Location_of_the_Vedic_Iria_and_its_Arch.pdf	2015	370	11
22	Microzonation_of_earthquake_hazard_in_Gr.pdf	2004	381	10
23	Narada_Silpasastra_Sanskrit_Text_on_Arch.pdf	2018	391	22
24	Parasara_Tantra_an_Ancient_Text_on_Natur.pdf	2014	413	5
25	Rainfall_cycles_in_Ancient_Sanskrit_Text.pdf	2009	433	4
26	Random_vibration_of_a_second_order_non_l.pdf	1975	418	11
27	Rocking_response_of_rectangular_rigid_bl.pdf	1991	433	8
28	Seismic_hazard_estimation_for_Mumbai_cit.pdf	2006	441	9
29	Seismic_status_of_Delhi_megacity.pdf	2000	450	7
30	Some_Celestial_Observations_associated_w.pdf	2006	457	13
31	Strong_Ground_Motion_Estimation_During_t.pdf	2006	470	21
32	T_A_T_T_V_A_D_E_P_A_H_Journal_of_Academy.pdf	2019	491	39
33	Transit_of_sun_through_the_seasonal_nak.pdf	2021	530	19
34	Vddhagargiya_Jyotia_2_Continued_from_p.pdf	2019	549	30
35	Vedanga_jyotisha_connections_IJHS2009.pdf	2009	579	12
36	Vedic_Irinn_a_and_the_Rann_of_kutch.pdf	???	591	11
