date	type	umb_mag	par_start_time	par_start_alt	mid_ecl_time	mid_ecl_alt	par_end_time	par_end_alt	vis00	vis05	vis10	direction	ynum	pp_range	astro_date	mnum	dnum	astro_jd	astro_mjd
-490-Oct-19	P	0.205	05:06	8	05:56	20	06:45	32	True	True	False	west	-490	True	-00490-10-19	10	19	1542381.5	-857619.0
-479-Mar-25	P	0.073	04:10	-11	04:43	-3	05:17	4	True	False	False	west	-479	True	-00479-03-25	3	25	1546191.5	-853809.0
-478-Mar-14	T	1.502	05:55	15	07:47	42	09:39	68	True	True	True	west	-478	True	-00478-03-14	3	14	1546545.5	-853455.0
-466-Jul-27	P	0.777	02:14	-39	03:45	-19	05:17	2	True	False	False	west	-466	True	-00466-07-27	7	27	1551063.5	-848937.0
-460-Sep-18	T	1.492	04:53	2	06:43	28	08:33	54	True	False	False	west	-460	True	-00460-09-18	9	18	1553308.5	-846692.0
-456-Jan-12	T	1.716	05:16	8	07:11	33	09:05	59	True	True	False	west	-456	True	-00456-01-12	1	12	1554519.5	-845481.0
-450-Aug-29	P	0.061	05:22	5	05:52	12	06:22	19	True	False	False	west	-450	True	-00450-08-29	8	29	1556940.5	-843060.0
-446-Dec-11	T	1.456	01:13	-41	03:05	-19	04:57	5	True	False	False	west	-446	True	-00446-12-11	12	11	1558505.5	-841495.0
-443-Oct-10	P	0.214	03:22	-18	04:12	-6	05:02	6	True	True	False	west	-443	True	-00443-10-10	10	10	1559539.5	-840461.0
-435-May-17	P	0.973	02:28	-34	04:12	-10	05:55	13	True	True	True	west	-435	True	-00435-05-17	5	17	1562315.5	-837685.0
-427-Jun-17	T	1.693	05:03	1	06:54	25	08:44	45	True	False	False	west	-427	True	-00427-06-17	6	17	1565268.5	-834732.0
-420-Jul-28	T	1.597	05:31	6	07:16	29	09:01	48	True	True	False	west	-420	True	-00420-07-28	7	28	1567866.5	-832134.0
-417-Nov-21	T	1.478	05:53	21	07:36	45	09:19	68	True	True	True	west	-417	True	-00417-11-21	11	21	1569077.5	-830923.0
