Obs#	Eclipse#	Hit_K70A10	Year	Month	Day	EclipseStart	ObservationTime	EclipseEnd	MoonAlt	KrittikkaAlt	AgastyaAlt	Remarks	HitTag	HitCount														
1	1	-	-490	4	25	-00490-04-25T19:05:00	-0490-04-25T19:05:00	-00490-04-25T20:13:00	16	-18	14	BreakingSearch. Kritikka is too low to reach zenith	.@	0														
2	2	-	-490	10	18	-00490-10-18T23:36:00	-0490-10-18T23:36:00	-0490-10-19T01:15:00	85	82	5	ContinuingSearch +30 minutes (normally)	*.	0														
3	2	-	-490	10	18	-00490-10-18T23:36:00	-0490-10-19T00:06:00	-0490-10-19T01:15:00	82	86	9	ContinuingSearch +30 minutes (normally)	*.	0														
4	2	Hit	-490	10	18	-00490-10-18T23:36:00	-0490-10-19T00:36:00	-0490-10-19T01:15:00	76	81	13	Found NEW HIT:1	*@	0														
5	3	-	-485	1	31	-00485-01-31T17:13:00	-0485-01-31T17:13:00	-00485-01-31T20:44:00	-9	86	9	ContinuingSearch +36 Minutes (moon fast fwd)	*.	1														
6	3	-	-485	1	31	-00485-01-31T17:13:00	-0485-01-31T17:49:00	-00485-01-31T20:44:00	0	80	14	ContinuingSearch +1 Minutes (moon fast fwd)	*@	1														
7	3	Hit	-485	1	31	-00485-01-31T17:13:00	-0485-01-31T17:50:00	-00485-01-31T20:44:00	0	80	14	Found NEW HIT:2	*@	1														
8	4	-	-479	3	24	-00479-03-24T22:40:00	-0479-03-24T22:40:00	-00479-03-24T23:47:00	68	-39	2	BreakingSearch. Kritikka is too low to reach zenith	..	2														
9	5	-	-478	3	13	-00478-03-13T00:25:00	-0478-03-13T00:25:00	-00478-03-13T04:09:00	72	-51	-7	BreakingSearch. Kritikka is too low to reach zenith	..	2														
10	6	-	-478	9	7	-00478-09-07T15:28:00	-0478-09-07T15:28:00	-00478-09-07T19:09:00	-36	-64	-31	ContinuingSearch +150 Minutes (moon fast fwd)	..	2														
11	6	-	-478	9	7	-00478-09-07T15:28:00	-0478-09-07T17:58:00	-00478-09-07T19:09:00	0	-37	-46	ContinuingSearch +1 Minutes (moon fast fwd)	..	2														
12	6	-	-478	9	7	-00478-09-07T15:28:00	-0478-09-07T17:59:00	-00478-09-07T19:09:00	0	-37	-46	BreakingSearch. Kritikka is too low to reach zenith	..	2														
13	7	-	-477	8	27	-00477-08-27T20:13:00	-0477-08-27T20:13:00	-00477-08-27T23:21:00	31	-16	-46	BreakingSearch. Kritikka is too low to reach zenith	..	2														
14	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T15:34:00	-00475-12-31T19:22:00	-27	36	-23	ContinuingSearch +114 Minutes (moon fast fwd)	..	2														
15	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T17:28:00	-00475-12-31T19:22:00	-3	64	-6	ContinuingSearch +13 Minutes (moon fast fwd)	..	2														
16	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T17:41:00	-00475-12-31T19:22:00	0	67	-4	ContinuingSearch +30 minutes (normally)	..	2														
17	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T18:11:00	-00475-12-31T19:22:00	6	74	1	ContinuingSearch +30 minutes (normally)	*.	2														
18	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T18:41:00	-00475-12-31T19:22:00	13	81	5	ContinuingSearch +30 minutes (normally)	*.	2														
19	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T19:11:00	-00475-12-31T19:22:00	19	86	9	ContinuingSearch +30 minutes (normally)	*.	2														
20	8	-	-475	12	31	-00475-12-31T15:34:00	-0475-12-31T19:41:00	-00475-12-31T19:22:00	26	82	13	Breaking Search. Eclipse Over at -00475-12-31T19:22:00	*@	2														
