date	index	jd	lati_Jupiter	lati_Mars	lati_Mercury	lati_Moon	lati_Saturn	lati_Sun	lati_Venus	long_Jupiter	long_Mars	long_Mercury	long_Moon	long_Saturn	long_Sun	long_Venus	long_N01_Ashwini	long_N02_Bharani	long_N03_Krittika	long_N04_Rohini	long_N05_Mrigashirisham	long_N06_Thiruvadarai	long_N07_Punarpasu	long_N08_Pushyam	long_N09_Ayilyam	long_N10_Makam	long_N11_Pooram	long_N12_Uttiram	long_N13_Hastam	long_N14_Chitrai	long_N15_Swati	long_N16_Vishakam	long_N17_Anusham	long_N18_Kettai	long_N19_Moolam	long_N20_Pooradam	long_N21_Uttiradam	long_N22_Thiruvonam	long_N23_Avittam	long_N24_Shatayam	long_N25_Poorattadi	long_N26_Uttiratadi	long_N27_Revati	long_N28_Abhijit
-600-01-01	125226	1501914.5	-0.6881172774111834	0.4965907585683785	-0.5606720298554169	1.1270568128057674	-0.1039038741684363	0.0	1.7126027730306652	287.42443636654014	223.9045590457444	259.8117830282922	24.21463228374625	274.1753530506511	281.05155490202424	324.5902958826936	1.4861041095368117	12.107108219125525	23.884106849263347	33.63510410953638	47.581105479398104	52.611104109525414	77.51812876706308	92.56810410952365	98.56411232870113	113.89811643827987	124.97509452049545	127.26410410953241	157.5021150684386	167.75510821912292	167.96009726019383	188.99011095883984	206.4591068492502	213.65810684924935	228.4741068492638	239.03111095885205	246.2621068492458	265.24608356155596	281.3701109588398	303.4071123287042	317.45611095885164	338.31711369858	353.1901027396755	249.14509999992964
-600-01-08	125227	1501921.5	-0.6978874628990134	0.4113647851502825	-1.3079332620941944	4.826114609037329	-0.11302824808096434	0.0	2.890098116481365	289.101663115091	228.745948301248	270.1353576305925	121.56469450733948	275.0064957428698	288.1248693893204	328.93693750571543	1.486369534194346	12.107373068440593	23.884371890359237	33.63536953419391	47.58137071227482	52.61136953418295	77.51839073966582	92.56836953418117	98.56437660267373	113.89838013691	124.97536128761874	127.26436953418995	157.50237895884956	167.75537306843796	167.96036364375547	188.99037542459325	206.4593718903461	213.65837189034522	228.4743718903597	239.0313754246055	246.2623718903417	265.24635186292585	281.37037542459325	303.40737660267683	317.4563754246051	338.3173777807717	353.1903683561139	249.14536599992962
-600-01-15	125228	1501928.5	-0.7087599739999233	0.31874049548495365	-1.8239552589119497	-2.5892907148441835	-0.12232524443747195	0.0	4.200625105174854	290.78022123758166	233.5989997272879	281.23192119910544	220.99997374504346	275.82403610368266	295.1747805396272	332.04396782609894	1.4866349588518801	12.107637917755662	23.884636931455127	33.63563495885145	47.58163594515153	52.61163495884048	77.51865271226855	92.56863495883871	98.56464087664634	113.89864383554014	124.97562805474203	127.26463495884748	157.50264284926052	167.75563791775303	167.9606300273171	188.99063989034667	206.459636931442	213.65863693144112	228.47463693145556	239.03163989035892	246.2626369314376	265.2466201642957	281.3706398903467	303.40764087664945	317.4566398903585	338.3176418629635	353.19063397255223	249.14563199992963
-600-01-22	125229	1501935.5	-0.7207819533737742	0.21833351012616672	-2.0517498153211573	-4.573586075025089	-0.13182330050360494	0.0	5.591792403779394	292.452697895136	238.46222582137563	293.12683613961843	307.81418925544614	276.62157072148017	302.199179749123	333.563371595557	1.4869003835094143	12.10790276707073	23.884901972551017	33.63590038350898	47.58190117802824	52.61190038349802	77.51891468487129	92.56890038349624	98.56490515061894	113.89890753417028	124.97589482186531	127.26490038350502	157.5029067396715	167.7559027670681	167.96089641087877	188.9909043561001	206.45990197253786	213.65890197253702	228.47490197255146	239.03190435611234	246.26290197253348	265.24688846566556	281.3709043561001	303.407905150622	317.4569043561119	338.3179059451553	353.1908995889906	249.14589799992964
-600-01-29	125230	1501942.5	-0.7340023315789558	0.10977227703220888	-1.91912518078048	2.0050768025541834	-0.14154946910853572	0.0	6.941689166501755	294.1117637781465	243.3338459639516	305.8867169333247	32.99159235179423	277.3928023111855	309.19638198317483	333.1703056327742	1.487165808166949	12.1081676163858	23.885167013646907	33.63616580816652	47.582166410904954	52.61216580815555	77.51917665747403	92.56916580815378	98.56516942459155	113.89917123280041	124.9761615889886	127.26516580816255	157.50317063008245	167.75616761638318	167.9611627944404	188.99116882185353	206.46016701363376	213.6591670136329	228.47516701364736	239.03216882186575	246.26316701362938	265.24715676703545	281.37116882185353	303.40816942459463	317.45716882186537	338.3181700273471	353.19116520542894	249.14616399992963
-600-02-05	125231	1501949.5	-0.7484719632186935	-0.007294998652307473	-1.34468436469767	4.391786540719314	-0.1515290735099001	0.0	8.02649777624447	295.7501261031154	248.21172701174373	319.4819053723316	131.2116442475516	278.13155627304525	316.1651419791317	330.77248338757283	1.4874312328244832	12.108432465700867	23.885432054742797	33.63643123282405	47.58243164378167	52.61243123281309	77.51943863007678	92.56943123281131	98.56543369856415	113.89943493143056	124.9764283561119	127.26543123282009	157.5034345204934	167.75643246569825	167.96142917800205	188.99143328760695	206.46043205472964	213.6594320547288	228.47543205474324	239.0324332876192	246.26343205472529	265.2474250684053	281.3714332876069	303.40843369856725	317.45743328761876	338.3184341095389	353.1914308218673	249.14642999992964
-600-02-12	125232	1501956.5	-0.7642435686547732	-0.13319309756441425	-0.28741258121332913	-3.3514140503747862	-0.16178529227575408	0.0	8.555378443542741	297.36047983652736	253.0933142364043	333.44045116747225	229.9373800025084	278.8318010036798	323.10466152280355	326.8295909416635	1.4876966574820174	12.108697315015936	23.885697095838687	33.636696657481586	47.582696876658375	52.61269665747062	77.5197006026795	92.56969665746885	98.56569797253674	113.8996986300607	124.97669512323517	127.26569665747762	157.50369841090435	167.75669731501333	167.9616955615637	188.99169775336037	206.46069709582554	213.6596970958247	228.47569709583914	239.03269775337262	246.26369709582116	265.24769336977516	281.37169775336037	303.4086979725398	317.4576977533722	338.3186981917307	353.19169643830566	249.14669599992965
-600-02-19	125233	1501963.5	-0.7813714418747875	-0.26821242798616496	1.1176904247707122	-4.103925770277667	-0.17233866055642835	0.0	8.336262677386898	298.9354578904831	257.9755519564144	346.3255447366018	316.17362630975987	279.48767391564843	330.0145884411025	322.47004201280004	1.4879620821395516	12.108962164331004	23.88596213693458	33.63696208213912	47.58296210953509	52.612962082128156	77.51996257528225	92.56996208212638	98.56596224650934	113.89996232869083	124.97696189035847	127.26596208213516	157.5039623013153	167.7569621643284	167.96196194512532	188.9919622191138	206.46096213692144	213.65996213692057	228.47596213693504	239.03296221912603	246.26396213691706	265.247961671145	281.3719622191138	303.40896224651243	317.4579622191256	338.3189622739224	353.191962054744	249.14696199992963
-600-02-26	125234	1501970.5	-0.7999108696767955	-0.4126018516004434	2.470720842857472	2.8236285166863637	-0.18320647585581493	0.0	7.4425132114164425	300.4675813227353	262.85479307848897	355.9959694177465	41.84117263446268	280.09351525517314	336.8950081482172	319.0303594304143	1.4882275067970858	12.109227013646073	23.88622717803047	33.637227506796656	47.5832273424118	52.61322750678569	77.520224547885	92.57022750678392	98.56622652048195	113.90022602732097	124.97722865748176	127.26622750679269	157.50422619172627	167.75722701364344	167.962228328687	188.99222668486723	206.4612271780173	213.66022717801647	228.4762271780309	239.03322668487945	246.26422717801296	265.2482299725149	281.3722266848672	303.40922652048505	317.45822668487904	338.3192263561142	353.19222767118237	249.14722799992964
-600-03-05	125235	1501977.5	-0.8199171893204952	-0.5665620323214456	3.2725215149931564	3.792796319144872	-0.19440209953785745	0.0	6.14997600397122	301.94921098879814	267.7266965232294	0.8891140330962912	140.84860268328597	280.6439118920482	343.74642869679093	317.36874886446185	1.48849293145462	12.109491862961141	23.88649221912636	33.63749293145419	47.58349257528852	52.613492931443226	77.52048652048774	92.57049293144145	98.56649079445455	113.9004897259511	124.97749542460504	127.26649293145023	157.50449008213724	167.75749186295852	167.96249471224863	188.99249115062065	206.4614922191132	213.66049221911237	228.4764922191268	239.0334911506329	246.26449221910883	265.24849827388476	281.37249115062065	303.40949079445767	317.4584911506325	338.319490438306	353.1924932876207	249.14749399992962
