,State,Constituency,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
0,Goa,Aldona,CARLOS ALVARES FERREIRA,Indian National Congress,GLENN JOHN VIJAY AMBROSE E SOUZA TICLO,Bharatiya Janata Party  ,1823,Result Declared
1,Goa,Benaulim,Venzy Viegas,Aam Aadmi Party,Churchill Alemao,All India Trinamool Congress  ,1271,Result Declared
2,Goa,Bicholim,DR. CHANDRAKANT SHETYE,Independent,NARESH RAJARAM SAWAL,Maharashtrawadi Gomantak  ,318,Result Declared
3,Goa,Calangute,Michael Vincent Lobo,Indian National Congress,Joseph Robert Sequeira,Bharatiya Janata Party  ,4979,Result Declared
4,Goa,Canacona,Ramesh Tawadkar,Bharatiya Janata Party,Isidore Aleixinho Fernandes,Independent  ,3051,Result Declared
5,Goa,Cortalim,Antonio Vas,Independent,Olencio Simoes,Indian National Congress  ,1178,Result Declared
6,Goa,Cumbarjua,Rajesh Faldessai,Indian National Congress,Janita Pandurang Madkaikar,Bharatiya Janata Party  ,2827,Result Declared
7,Goa,Cuncolim,Alemao Yuri,Indian National Congress,CLAFASIO DIAS,Bharatiya Janata Party  ,3234,Result Declared
8,Goa,Curchorem,NILESH CABRAL,Bharatiya Janata Party,AMIT PATKAR,Indian National Congress  ,672,Result Declared
9,Goa,Curtorim,ALEIXO REGINALDO LOURENCO,Independent,MORENO REBELO,Indian National Congress  ,5055,Result Declared
10,Goa,Dabolim,MAUVIN HELIODORO GODINHO,Bharatiya Janata Party,Captain Viriato Hipolito Mendonca Fernandes,Indian National Congress  ,1570,Result Declared
11,Goa,Fatorda,VIJAI SARDESAI,Goa Forward Party,DAMU G. NAIK,Bharatiya Janata Party  ,1527,Result Declared
12,Goa,Maem,PREMENDRA VISHNU SHET,Bharatiya Janata Party,SANTOSH KUMAR SAWANT,Goa Forward Party  ,3136,Result Declared
13,Goa,Mandrem,JIT VINAYAK AROLKAR,Maharashtrawadi Gomantak,DAYANAND RAGHUNATH SOPTE,Bharatiya Janata Party  ,715,Result Declared
14,Goa,Mapusa,JOSHUA PETER DE SOUZA,Bharatiya Janata Party,SUDHIR RAMA KANDOLKAR,Indian National Congress  ,1647,Result Declared
15,Goa,Marcaim,Ramkrishna Alias Sudin Dhavalikar,Maharashtrawadi Gomantak,Sudesh Bhingi,Bharatiya Janata Party  ,9963,Result Declared
16,Goa,Margao,DIGAMBAR KAMAT,Indian National Congress,AJGAONKAR MANOHAR (BABU),Bharatiya Janata Party  ,7794,Result Declared
17,Goa,Mormugao,Sankalp Amonkar,Indian National Congress,Milind Sagun Naik,Bharatiya Janata Party  ,1941,Result Declared
18,Goa,Navelim,Ulhas Tuenkar,Bharatiya Janata Party,Valanka Natasha Alemao,All India Trinamool Congress  ,430,Result Declared
19,Goa,Nuvem,ALEIXO SEQUEIRA,Indian National Congress,ARVIND D'COSTA,Revolutionary Goans Party  ,4397,Result Declared
20,Goa,Panaji,ATANASIO MONSERRATE,Bharatiya Janata Party,UTPAL MANOHAR PARRIKAR,Independent  ,716,Result Declared
21,Goa,Pernem,PRAVIN PRABHAKAR ARLEKAR,Bharatiya Janata Party,RAJAN BABUSO KORGAONKAR,Maharashtrawadi Gomantak  ,3418,Result Declared
22,Goa,Ponda,RAVI NAIK,Bharatiya Janata Party,KETAN PRABHU BHATIKAR,Maharashtrawadi Gomantak  ,77,Result Declared
23,Goa,Poriem,DEVIYA VISHWAJIT RANE,Bharatiya Janata Party,VISHWAJIT RANE,Aam Aadmi Party  ,13943,Result Declared
24,Goa,Porvorim,Rohan Khaunte,Bharatiya Janata Party,Sandeep Vazarkar,All India Trinamool Congress  ,7950,Result Declared
25,Goa,Priol,Govind Shepu Gaude,Bharatiya Janata Party,Pandurang Alias Deepak Dhavalikar,Maharashtrawadi Gomantak  ,213,Result Declared
26,Goa,Quepem,ALTONE D'COSTA,Indian National Congress,CHANDRAKANT KAVLEKAR,Bharatiya Janata Party  ,3601,Result Declared
27,Goa,Saligao,Kedar Jayprakash Naik,Indian National Congress,Jayesh Salgaonkar,Bharatiya Janata Party  ,1899,Result Declared
28,Goa,Sanguem,Subhash Uttam Phal Dessai,Bharatiya Janata Party,Savitri Chandrakant Kavlekar,Independent  ,1429,Result Declared
