,State,Constituency,Candidate,Party,Votes,Rank,Status
0,Goa,Aldona,CARLOS ALVARES FERREIRA,Indian National Congress,9074,0,Winner
1,Goa,Aldona,GLENN JOHN VIJAY AMBROSE E SOUZA TICLO,Bharatiya Janata Party,7286,1,Loser1
2,Goa,Aldona,KIRAN KANDOLKAR,All India Trinamool Congress,3601,2,Loser2
3,Goa,Aldona,MAHESH SATELKAR,Aam Aadmi Party,1267,3,Loser3
4,Goa,Aldona,GOVIND GOVENKAR,Shiv Sena,342,4,Loser4
5,Goa,Aldona,NOTA,None of the Above,248,5,Loser5
6,Goa,Aldona,POOJA MAYEKAR,Independent,109,6,Loser6
7,Goa,Benaulim,Venzy Viegas,Aam Aadmi Party,6267,0,Winner
8,Goa,Benaulim,Churchill Alemao,All India Trinamool Congress,4996,1,Loser1
9,Goa,Benaulim,Antonio Feliciano Dias (Tony),Indian National Congress,4609,2,Loser2
10,Goa,Benaulim,Desmond Fernandes,Revolutionary Goans Party,3784,3,Loser3
11,Goa,Benaulim,Damodar (Samir) Bandodkar,Bharatiya Janata Party,821,4,Loser4
12,Goa,Benaulim,NOTA,None of the Above,159,5,Loser5
13,Goa,Bicholim,DR. CHANDRAKANT SHETYE,Independent,9368,0,Winner
14,Goa,Bicholim,NARESH RAJARAM SAWAL,Maharashtrawadi Gomantak,8912,1,Loser1
15,Goa,Bicholim,RAJESH TULSHIDAS PATNEKAR,Bharatiya Janata Party,5019,2,Loser2
16,Goa,Bicholim,MEGHASHYAM VAMAN RAUT,Indian National Congress,901,3,Loser3
17,Goa,Bicholim,ANISH AVINASH NAIK,Revolutionary Goans Party,589,4,Loser4
18,Goa,Bicholim,NOTA,None of the Above,336,5,Loser5
19,Goa,Calangute,Michael Vincent Lobo,Indian National Congress,9103,0,Winner
20,Goa,Calangute,Joseph Robert Sequeira,Bharatiya Janata Party,4230,1,Loser1
21,Goa,Calangute,Marcelino Francisco Gonsalves,Revolutionary Goans Party,2504,2,Loser2
22,Goa,Calangute,Sudesh Suresh Mayekar,Aam Aadmi Party,1750,3,Loser3
23,Goa,Calangute,Anthony Menezes,All India Trinamool Congress,1660,4,Loser4
24,Goa,Calangute,ROSHAN LUKE MATHIAS,Goencho Swabhiman Party,544,5,Loser5
25,Goa,Calangute,Ricardo D'Souza,Independent,262,6,Loser6
26,Goa,Calangute,NOTA,None of the Above,172,7,Loser7
27,Goa,Canacona,Ramesh Tawadkar,Bharatiya Janata Party,8636,0,Winner
28,Goa,Canacona,Isidore Aleixinho Fernandes,Independent,5835,1,Loser1
29,Goa,Canacona,Janardhan Bhandari,Indian National Congress,5227,2,Loser2
30,Goa,Canacona,Vijay Pai Khot,Independent,4558,3,Loser3
31,Goa,Canacona,Prashant Suresh Pagi,Revolutionary Goans Party,1574,4,Loser4
32,Goa,Canacona,Mahadev Dessai,All India Trinamool Congress,1050,5,Loser5
33,Goa,Canacona,Anoop Balkrishna Kudtarkar,Aam Aadmi Party,825,6,Loser6
34,Goa,Canacona,NOTA,None of the Above,292,7,Loser7
35,Goa,Canacona,Kanay Pagi,Independent,117,8,Loser8
36,Goa,Cortalim,Antonio Vas,Independent,5430,0,Winner
37,Goa,Cortalim,Olencio Simoes,Indian National Congress,4255,1,Loser1
38,Goa,Cortalim,Girish Pillai,Independent,4222,2,Loser2
39,Goa,Cortalim,Gilbert Mariano Rodrigues,All India Trinamool Congress,3231,3,Loser3
40,Goa,Cortalim,Teotonio Inacio Santana Costa,Revolutionary Goans Party,2431,4,Loser4
41,Goa,Cortalim,Narayan Naik,Bharatiya Janata Party,2364,5,Loser5
42,Goa,Cortalim,Alina Saldanha,Aam Aadmi Party,1306,6,Loser6
