Calendar Date	Type	Pen. Mag.	Umbral Mag.	Pen. Begins	Alt	Partial Begins	Alt	Total Begins	Alt	Mid-Eclipse	Alt	Total Ends	Alt	Partial Ends	Alt	Pen. Ends	Alt
-1499-Jul-18	P	1.087	0.14	0:38	+40	2:03	+34	-	-	2:43	+29	-	-	3:23	+24	4:48	+09
-1498-Jul-07	T	2.406	1.44	16:29	-34	17:26	-22	18:27	-10	19:10	-2	19:54	+07	20:55	+17	21:52	+26
-1497-Jun-27	P	1.875	0.86	4:33	+08	5:42	-5	-	-	7:17	-24	-	-	8:52	-43	10:00	-58
-1497-Dec-20	N	0.937	-0.062	21:02	+44	-	-	-	-	23:05	+71	-	-	-	-	1:08	+81
-1496-May-16	N	0.17	-0.898	20:39	+22	-	-	-	-	21:42	+33	-	-	-	-	22:46	+42
-1496-Nov-10	P	0.994	0.018	1:06	+71	2:53	+50	-	-	3:08	+47	-	-	3:23	+44	5:10	+21
-1495-May-05	P	1.579	0.529	20:13	+19	21:34	+34	-	-	22:56	+46	-	-	0:18	+51	1:39	+47
-1495-Oct-30	T	2.203	1.19	14:14	-45	15:17	-34	16:27	-20	16:58	-14	17:30	-7	18:40	+08	19:42	+21
-1494-Apr-25	T	2.694	1.696	3:03	+37	4:02	+25	5:03	+13	5:53	+02	6:44	-9	7:44	-22	8:44	-35
-1494-Oct-19	T	2.257	1.187	21:51	+49	23:01	+62	0:15	+68	0:48	+67	1:21	+64	2:35	+52	3:45	+37
-1493-Apr-14	P	1.309	0.356	17:23	-16	18:36	-1	-	-	19:39	+13	-	-	20:41	+25	21:55	+39
-1493-Oct-08	N	0.973	-0.129	23:24	+61	-	-	-	-	1:45	+57	-	-	-	-	4:06	+31
-1492-Mar-05	P	1.003	0.039	2:51	+56	4:33	+34	-	-	4:54	+29	-	-	5:16	+25	6:58	+02
-1491-Feb-22	T	2.323	1.307	15:02	-36	16:05	-26	17:12	-14	17:51	-6	18:30	+02	19:37	+16	20:40	+29
-1491-Aug-17	T	2.082	1.094	16:34	-33	17:35	-20	18:51	-5	19:14	+00	19:37	+05	20:53	+19	21:54	+30
-1490-Feb-11	P	2.06	0.988	20:42	+34	21:55	+50	-	-	23:38	+72	-	-	1:22	+78	2:35	+64
-1489-Jan-31	N	0.75	-0.342	21:36	+47	-	-	-	-	23:42	+74	-	-	-	-	1:49	+74
-1489-Jul-28	N	0.961	-0.001	1:08	+39	-	-	-	-	3:09	+27	-	-	-	-	5:10	+06
-1488-Jun-17	P	1.294	0.265	2:33	+29	4:02	+15	-	-	5:01	+04	-	-	6:00	-7	7:30	-25
-1488-Dec-10	T	2.254	1.266	19:00	+18	19:58	+30	21:04	+44	21:40	+52	22:15	+60	23:21	+74	0:19	+85
-1487-Jun-06	T	2.7	1.634	5:12	+02	6:21	-12	7:26	-25	8:18	-36	9:10	-47	10:15	-61	11:24	-76
-1486-Nov-20	N	0.967	-0.035	1:36	+67	-	-	-	-	3:41	+41	-	-	-	-	5:45	+15
-1485-Apr-16	N	0.556	-0.428	3:06	+38	-	-	-	-	4:46	+19	-	-	-	-	6:25	-3
-1485-Oct-10	N	0.785	-0.297	18:18	+00	-	-	-	-	20:24	+28	-	-	-	-	22:30	+53
-1484-Apr-04	T	1.965	1.017	17:18	-17	18:15	-4	19:40	+14	19:49	+16	19:59	+18	21:24	+35	22:21	+46
-1484-Sep-28	P	2.023	0.923	17:15	-16	18:32	+00	-	-	20:15	+23	-	-	21:58	+43	23:15	+56
-1483-Sep-17	T	2.481	1.415	18:04	-8	19:12	+06	20:19	+20	21:04	+29	21:49	+38	22:56	+48	0:04	+55
-1482-Mar-15	N	0.973	-0.024	1:06	+71	-	-	-	-	3:13	+49	-	-	-	-	5:20	+22
-1482-Sep-07	P	1.176	0.17	2:30	+39	4:00	+24	-	-	4:46	+15	-	-	5:32	+06	7:03	-13
