sloka	pada	english	speech_part	word_count	verb_count
2.91.76	अंशुमतश्चापि	bristled	[[('bristled', 'VBN')]]	1	1
1.26.6	अकरोत्	performed	[[('performed', 'VBN')]]	1	1
1.31.14	अकरोत्	performed	[[('performed', 'VBN')]]	1	1
1.32.6	अकरोत्	constructed	[[('constructed', 'VBN')]]	1	1
1.63.7	अकरोत्	made	[[('made', 'VBN')]]	1	1
2.115.22	अकरोत्	ruled	[[('ruled', 'VBN')]]	1	1
2.20.14	अकरोत्	performed	[[('performed', 'VBN')]]	1	1
2.36.26	अकरोत्	has committed	[[('has', 'VBZ'), ('committed', 'VBN')]]	2	2
2.52.68	अकरोत्	made	[[('made', 'VBN')]]	1	1
2.72.50	अकरोत्	performed	[[('performed', 'VBN')]]	1	1
3.69.51	अकरोत्	fixed	[[('fixed', 'VBN')]]	1	1
5.35.51	अकरोत्	made	[[('made', 'VBN')]]	1	1
5.49.20	अकरोत्	entertained	[[('entertained', 'VBN')]]	1	1
1.33.26	अकल्पयत्	performed	[[('performed', 'VBN')]]	1	1
1.69.7	अकल्पयत्	made	[[('made', 'VBN')]]	1	1
2.25.29	अकल्पयत्	performed	[[('performed', 'VBN')]]	1	1
2.25.33	अकल्पयत्	created	[[('created', 'VBN')]]	1	1
2.54.18	अकल्पयत्	arranged	[[('arranged', 'VBN')]]	1	1
2.97.29	अकल्पयत्	made	[[('made', 'VBN')]]	1	1
3.7.22	अकल्पयत्	arranged	[[('arranged', 'VBN')]]	1	1
3.71.13	अकल्पयत्	created	[[('created', 'VBN')]]	1	1
2.1.33	अकामयत	desired	[[('desired', 'VBN')]]	1	1
2.2.48	अकामयत	desired	[[('desired', 'VBN')]]	1	1
2.45.11	अकामयन्	desired	[[('desired', 'VBN')]]	1	1
1.42.8	अकारयत्	ruled	[[('ruled', 'VBN')]]	1	1
1.51.20	अकारयत्	ruled	[[('ruled', 'VBN')]]	1	1
2.12.63	अकारयत्	ruled	[[('ruled', 'VBN')]]	1	1
2.64.53	अकार्षीः	rendered	[[('rendered', 'VBN')]]	1	1
5.35.49	अकुरुताम्	reached	[[('reached', 'VBN')]]	1	1
1.12.19	अकुर्वत	performed	[[('performed', 'VBN')]]	1	1
2.71.3	अकुर्वतीम्	originating	[[('originating', 'VBG')]]	1	1
1.23.19	अकुर्वन्	performed	[[('performed', 'VBN')]]	1	1
1.29.27	अकुर्वन्	extended	[[('extended', 'VBN')]]	1	1
2.18.15	अकुर्वन्	disobeying	[[('disobeying', 'VBG')]]	1	1
1.54.23	अकुलीकृताः	were tormented	[[('were', 'VBD'), ('tormented', 'VBN')]]	2	2
5.9.71	अकुलीना	lowbred	[[('lowbred', 'VBN')]]	1	1
1.25.21	अक्लीबम्	determined	[[('determined', 'VBN')]]	1	1
2.20.46	अक्षयम्	unending	[[('unending', 'VBG')]]	1	1
2.7.20	अक्षय्यम्	unending	[[('unending', 'VBG')]]	1	1
2.64.40	अक्षय्याम्	unfailing	[[('unfailing', 'VBG')]]	1	1
2.9.11	अगच्छत्	went	[[('went', 'VBD')]]	1	1
1.35.19	अगच्छन्	had gone	[[('had', 'VBD'), ('gone', 'VBN')]]	2	2
1.70.14	अगमत्	went	[[('went', 'VBD')]]	1	1
2.59.38	अगमत्	seized	[[('seized', 'VBN')]]	1	1
2.7.16	अगमत्	obtained	[[('obtained', 'VBN')]]	1	1
