sloka	pada	english	verb_part	speech_part	word_count	verb_count
2.71.9	अंशुधाने	at a place known as Anshudhana	[('known', 'VBN')]	[[('at', 'IN'), ('a', 'DT'), ('place', 'NN'), ('known', 'VBN'), ('as', 'IN'), ('Anshudhana', 'NNP')]]	6	1
2.91.76	अंशुमतश्चापि	bristled	[('bristled', 'VBN')]	[[('bristled', 'VBN')]]	1	1
1.38.22	अंशुमान् नाम	named Anshuman	[('named', 'VBN')]	[[('named', 'VBN'), ('Anshuman', 'NNP')]]	2	1
5.47.15	अंशुमालिकः	garlanded by rays	[('garlanded', 'VBN')]	[[('garlanded', 'VBN'), ('by', 'IN'), ('rays', 'NNS')]]	3	1
5.54.44	अंशुमाली	surrounded by rays of light	[('surrounded', 'VBN')]	[[('surrounded', 'VBN'), ('by', 'IN'), ('rays', 'NNS'), ('of', 'IN'), ('light', 'NN')]]	5	1
4.33.47	अंस्तावच	will result in destruction	[('result', 'VB')]	[[('will', 'MD'), ('result', 'VB'), ('in', 'IN'), ('destruction', 'NN')]]	4	1
3.31.3	अकम्पनम्	to Akampana	[('Akampana', 'VB')]	[[('to', 'TO'), ('Akampana', 'VB')]]	2	1
3.31.32	अकम्पनम्	to Akampana	[('Akampana', 'VB')]	[[('to', 'TO'), ('Akampana', 'VB')]]	2	1
1.18.20	अकरोत्	he Vasishta performed	[('performed', 'VBD')]	[[('he', 'PRP'), ('Vasishta', 'NNP'), ('performed', 'VBD')]]	3	1
1.26.6	अकरोत्	performed	[('performed', 'VBN')]	[[('performed', 'VBN')]]	1	1
1.31.14	अकरोत्	performed	[('performed', 'VBN')]	[[('performed', 'VBN')]]	1	1
1.32.6	अकरोत्	constructed	[('constructed', 'VBN')]	[[('constructed', 'VBN')]]	1	1
1.39.6	अकरोत्	carried out	[('carried', 'VBN')]	[[('carried', 'VBN'), ('out', 'RP')]]	2	1
1.63.7	अकरोत्	made	[('made', 'VBN')]	[[('made', 'VBN')]]	1	1
2.115.22	अकरोत्	ruled	[('ruled', 'VBN')]	[[('ruled', 'VBN')]]	1	1
2.20.14	अकरोत्	performed	[('performed', 'VBN')]	[[('performed', 'VBN')]]	1	1
2.36.26	अकरोत्	has committed	[('has', 'VBZ'), ('committed', 'VBN')]	[[('has', 'VBZ'), ('committed', 'VBN')]]	2	2
2.52.68	अकरोत्	made	[('made', 'VBN')]	[[('made', 'VBN')]]	1	1
2.56.29	अकरोत्	performed intoned	[('performed', 'VBN')]	[[('performed', 'VBN'), ('intoned', 'JJ')]]	2	1
2.72.50	अकरोत्	performed	[('performed', 'VBN')]	[[('performed', 'VBN')]]	1	1
2.87.18	अकरोत्	satisfied his hunger	[('satisfied', 'VBD')]	[[('satisfied', 'VBD'), ('his', 'PRP$'), ('hunger', 'NN')]]	3	1
3.69.51	अकरोत्	fixed	[('fixed', 'VBN')]	[[('fixed', 'VBN')]]	1	1
5.35.51	अकरोत्	made	[('made', 'VBN')]	[[('made', 'VBN')]]	1	1
5.49.20	अकरोत्	entertained	[('entertained', 'VBN')]	[[('entertained', 'VBN')]]	1	1
5.22.33	अकर्णिकाम्	who had no ears	[('had', 'VBD')]	[[('who', 'WP'), ('had', 'VBD'), ('no', 'DT'), ('ears', 'NNS')]]	4	1
1.48.27	अकर्तव्यम्	an act which should not be done	[('be', 'VB'), ('done', 'VBN')]	[[('an', 'DT'), ('act', 'NN'), ('which', 'WDT'), ('should', 'MD'), ('not', 'RB'), ('be', 'VB'), ('done', 'VBN')]]	7	2
2.75.33	अकर्ता	one who never helps	[('helps', 'VBP')]	[[('one', 'CD'), ('who', 'WP'), ('never', 'RB'), ('helps', 'VBP')]]	4	1
2.21.59	अकर्तुम्	not to execute	[('execute', 'VB')]	[[('not', 'RB'), ('to', 'TO'), ('execute', 'VB')]]	3	1
2.64.21	अकर्तुम्	not to do	[('do', 'VB')]	[[('not', 'RB'), ('to', 'TO'), ('do', 'VB')]]	3	1
4.43.7	अकर्तुरपि	who has not helped	[('has', 'VBZ'), ('helped', 'VBN')]	[[('who', 'WP'), ('has', 'VBZ'), ('not', 'RB'), ('helped', 'VBN')]]	4	2
2.102.24	अकर्दमम्	at a place that is not slushy	[('is', 'VBZ')]	[[('at', 'IN'), ('a', 'DT'), ('place', 'NN'), ('that', 'WDT'), ('is', 'VBZ'), ('not', 'RB'), ('slushy', 'JJ')]]	7	1
2.64.35	अकर्मण्यम्	incapable of  doing any work	[('doing', 'VBG')]	[[('incapable', 'NN'), ('of', 'IN'), ('doing', 'VBG'), ('any', 'DT'), ('work', 'NN')]]	5	1
4.1.115	अकलुषात्मनाम्	men who are pure at heart	[('are', 'VBP')]	[[('men', 'NNS'), ('who', 'WP'), ('are', 'VBP'), ('pure', 'NN'), ('at', 'IN'), ('heart', 'NN')]]	6	1
