sloka	pada	english	verb_part
2.71.9	अंशुधाने	at a place known as Anshudhana	[('known', 'VBN')]
2.91.76	अंशुमतश्चापि	bristled	[('bristled', 'VBN')]
1.38.22	अंशुमान् नाम	named Anshuman	[('named', 'VBN')]
5.47.15	अंशुमालिकः	garlanded by rays	[('garlanded', 'VBN')]
5.54.44	अंशुमाली	surrounded by rays of light	[('surrounded', 'VBN')]
4.33.47	अंस्तावच	will result in destruction.	[('result', 'VB')]
3.31.3	अकम्पनम्	to Akampana	[('Akampana', 'VB')]
3.31.32	अकम्पनम्	to Akampana	[('Akampana', 'VB')]
1.18.20	अकरोत्	he (Vasishta) performed	[('(Vasishta)', 'VBZ'), ('performed', 'VBD')]
2.56.29	अकरोत्	performed (intoned).	[('performed', 'VBN')]
1.39.6	अकरोत्	carried out.	[('carried', 'VBN')]
2.72.50	अकरोत्	performed	[('performed', 'VBN')]
1.63.7	अकरोत्	made	[('made', 'VBN')]
2.36.26	अकरोत्	has committed	[('has', 'VBZ'), ('committed', 'VBN')]
2.87.18	अकरोत्	satisfied his hunger	[('satisfied', 'VBD')]
1.32.6	अकरोत्	constructed	[('constructed', 'VBN')]
5.22.33	अकर्णिकाम्	who had no ears	[('had', 'VBD')]
1.48.27	अकर्तव्यम्	an act which should not be done	[('be', 'VB'), ('done', 'VBN')]
2.75.33	अकर्ता	one who never helps	[('helps', 'VBP')]
2.64.21	अकर्तुम्	not to do	[('do', 'VB')]
2.21.59	अकर्तुम्	not to execute	[('execute', 'VB')]
4.43.7	अकर्तुरपि	who has not helped	[('has', 'VBZ'), ('helped', 'VBN')]
2.102.24	अकर्दमम्	at a place that is not slushy	[('is', 'VBZ')]
2.64.35	अकर्मण्यम्	incapable of  doing any work	[('doing', 'VBG')]
4.1.115	अकलुषात्मनाम्	men who are pure at heart	[('are', 'VBP')]
2.25.33	अकल्पयत्	created	[('created', 'VBN')]
3.13.27	अकातरौ	never frightened	[('frightened', 'VBN')]
5.20.6	अकामाम्	not force to accept my desire	[('accept', 'VB')]
2.76.23	अकारयत्	got them performed.	[('got', 'VBD'), ('performed.', 'VB')]
1.1.80	अकारयत्	got it built.	[('got', 'VBD'), ('built.', 'VB')]
1.18.22	अकारयत्	were made to be performed.	[('were', 'VBD'), ('made', 'VBN'), ('be', 'VB')]
2.35.5	अकार्यतमम्	incapable of being done	[('being', 'VBG'), ('done', 'VBN')]
5.62.3	अकार्यमपि	tells not to do	[('do', 'VB')]
1.62.14	अकार्यमिव	as if a prohibited act	[('prohibited', 'VBN')]
2.109.2	अकार्यम्	is unfit to be done	[('is', 'VBZ'), ('be', 'VB'), ('done', 'VBN')]
2.64.53	अकार्षीः	rendered	[('rendered', 'VBN')]
2.10.32	अकिञ्चनः	shall be rendered poor.	[('be', 'VB'), ('rendered', 'VBN')]
2.71.3	अकुर्वतीम्	originating	[('originating', 'VBG')]
2.18.15	अकुर्वन्	disobeying	[('disobeying', 'VBG')]
3.38.26	अकुर्वन्तोऽपि	even without committing	[('committing', 'VBG')]
1.21.8	अकुर्वाणस्य	for one who does not fulfill	[('does', 'VBZ'), ('fulfill', 'VB')]
1.54.23	अकुलीकृताः	were tormented.	[('were', 'VBD')]
5.9.71	अकुलीना	lowbred	[('lowbred', 'VBN')]
5.57.23	अकृतकार्यस्य	if he was not successsful	[('was', 'VBD')]
5.63.15	अकृतकृत्यानाम्	if they had not accomplished their purpose	[('had', 'VBD'), ('accomplished', 'VBN')]
5.64.27	अकृतकृत्यानाम्	in case they have not accomplished	[('have', 'VBP'), ('accomplished', 'VBN')]
2.92.24	अकृतप्रज्ञाम्	is not discerning	[('is', 'VBZ'), ('discerning', 'VBG')]
5.1.97	अकृतम्	not carried out	[('carried', 'VBN')]
1.20.7	अकृतविद्यश्च	is not learned in the science of warfare	[('is', 'VBZ'), ('learned', 'VBN')]
3.43.38	अकृतात्मना	by evilminded	[('evilminded', 'VBD')]
3.5.28	अकृतात्मभिः	by those who have not realised their self	[('have', 'VBP'), ('realised', 'VBN')]
2.29.12	अकृतात्मभिः	by those whose senses are not under their control	[('are', 'VBP')]
3.29.18	अकृतात्मानः	having no control over self	[('having', 'VBG')]
4.53.25	अकृतार्थानाम्	not having achieved the objective (of finding Sita)	[('having', 'VBG'), ('achieved', 'VBN'), ('finding', 'VBG')]
3.72.19	अकृतार्थो वा	or not done	[('done', 'VBN')]
3.38.6	अकृतास्त्रश्च	not experienced in the use of weapons	[('experienced', 'VBN')]
3.38.22	अकृतास्त्रेण	who had not mastered archery	[('had', 'VBD'), ('mastered', 'VBN')]
4.65.30	अकृत्वा	by not fulfilling	[('fulfilling', 'VBG')]
2.13.12	अकृत्वा	not inflicting	[('inflicting', 'VBG')]
3.72.10	अकृत्वा	without doing so	[('doing', 'VBG')]
4.53.25	अकृत्वा	not executing	[('executing', 'VBG')]
1.20.24	अकोविदम्	not experienced	[('experienced', 'VBN')]
3.73.13	अकोविदाः	not knowing	[('knowing', 'VBG')]
5.15.25	अकोविदाम्	who had not experienced.	[('had', 'VBD')]
2.12.82	अक्रोष्ठुम्	to condemn	[('condemn', 'VB')]
5.43.9	अक्लिष्टकर्मणः	one who can  acomplish any task with ease	[('acomplish', 'VB')]
5.35.35	अक्लिष्टकर्मणः	one who is adept in accomplishing tasks with ease	[('is', 'VBZ'), ('adept', 'VBN'), ('accomplishing', 'VBG')]
3.24.26	अक्लिष्टकर्मणः	of one who is unwearied in action	[('is', 'VBZ'), ('unwearied', 'VBN')]
4.34.17	अक्लिष्टकर्मणः	of a man who accomplishes a task with ease	[('accomplishes', 'VBZ')]
1.32.18	अक्लिष्टकर्मणः	of him who accompanies pious and wise acts	[('accompanies', 'VBZ')]
3.39.23	अक्लिष्टकर्मणा	by one who can accomplish a work easily	[('accomplish', 'VB')]
3.31.40	अक्लिष्टकर्मणा	by one who is capable of doing difficult deeds	[('is', 'VBZ'), ('doing', 'VBG')]
3.38.22	अक्लिष्टकर्मणा	by one who acomplishes any task with ease	[('acomplishes', 'VBZ')]
4.53.30	अक्लिष्टकर्मणा	who never harms others	[('harms', 'VBZ')]
5.30.41	अक्लिष्टकर्माणम्	one who is judicious in action	[('is', 'VBZ')]
5.1.156	अक्लिष्टकारिणम्	one who may makes work easy (without any trouble)	[('makes', 'VBZ')]
5.58.26	अक्लिष्टकारिणम्	after revealing about her	[('revealing', 'VBG')]
2.14.21	अक्लिष्टम्	one who is not pained	[('is', 'VBZ')]
1.25.21	अक्लीबम्	determined	[('determined', 'VBN')]
