chapter number	sloka number	sloka	transliterated	vyakhya	translation	fn text
1	1	जीयात्कृतानङ्गपतङ्गदाहः खट्वाङ्गिनो नेत्रशिखिप्रदीपः । यस्यान्तिके शुभ्रदशानिवेशश्रियं किरीटेन्दुकराः श्रयन्ते ॥ १ ॥	jīyātkṛtānaṅgapataṅgadāhaḥ khaṭvāṅgino netraśikhipradīpaḥ | yasyāntike śubhradaśāniveśaśriyaṃ kirīṭendukarāḥ śrayante || 1 ||	किरीटेन्दोर्मौलिचन्द्रस्य करा रश्मयो यस्य नेत्रशिखिनो निकटे शुभ्रदशाया वर्णा- न्तरसन्निधानाच्छ्वेततराया अवस्थाया वर्तेश्च निवेशस्तच्छोभां श्रयन्ते सेवन्ते सः । अनङ्गः काम एव पतङ्गः कीटविशेषस्तस्य दाहः स कृतो येन सः । खट्वाङ्गिनो महादेवस्य नेत्राग्निरेव प्रदीपो जीयात्सर्वोत्कृष्टो भूयात् । अग्नेरत्र काव्ये वर्णनीयत्रिपुरदाहसाधकत्वाज्जयप्राप्त्यर्थं तद्वारा जगतामपि जयप्राप्त्या सतामुत्साहनार्थं जीयादित्याशीःप्रयोगः । नेत्रशिखीति विशेषेण ग्रहणं भगवतस्त्रिपुरदाहेऽन्यानपेक्षत्वद्योतनार्थम् । तस्य भगवदादृतत्वेन । सर्वासामग्निशक्तीनां तदुत्थत्वात् । कृतानङ्गपतङ्गदाह इति विशेषणं व्यभिचाराभावेऽपि सङ्गतम् । जीयादित्यत्र हेतुरूपतयातस्योपन्यासात्। 'वक्षःस्थली रक्षतु सा जगन्ति जगत्प्रसूतेर्गरुडध्वजस्य ।' इत्यत्र जगत्प्रसूतेरितिवत् । अत्र नेत्रशिखिनो जीयादित्याशीर्वादेनानङ्गदाहः कारणम् । उपकृतो ह्युपकारिणमाशास्ते । उपकारः पुरदाहलक्षणोऽनुक्तोऽप्यापतितः । यो हि मनोभवं पतङ्गवद्दहति तस्य पुरदाहो दण्डापूपिकया सिद्धः। कामदाहात्पूर्वकालावस्थाया वा व्यवच्छेदार्थं विशेषणम् । कृततीर्थयात्रो मैत्रो वन्द्य इतिवत् । नह्यकृतकामदाहस्याग्नेर्जयाशिषा प्रकृतपोषकत्वम् । वर्णनीयस्य त्रिपुरदाहस्य तथाविधेन नेत्राग्निना कथञ्चिदप्यसूचितत्वात् । अथवा समरसोत्सुकस्य कवेः शिखी जीयादित्युक्तौ कृतानङ्गपतङ्गदाह इति विशेषणं हेतुः । तथाहि 'सर्वैः कैश्चन' (१ । ५७) इत्यादिनोत्तरग्रन्थेन स्वस्य शान्तत्वं प्रकाशिष्यते । अनङ्ग इति भविष्यदवस्थानुगुणस्य नाम्नः प्रयोगोऽनुप्रासानुरोधात्कृतः । कामस्य सुदहत्वावबोधार्थमुपन्यस्तस्य पतङ्गरूपस्यानुगुण्यानुरोधान्नेत्राग्नेर्दीपरूपणम् । खट्वाङ्गिन इत्ययोगव्यवच्छेदः । न त्वन्ययोगव्यवच्छेदः । खट्वाङ्गिन इति संहारानुगुणं नाम ग्रन्थारम्भेऽपि निर्दिष्टम् । कामदाहानुगुणत्वात् । शुभ्रदशासहितश्च दीप: पतङ्गं दहति ॥	May the fire of Shiva’s (third) eye, standing for a lamp that burnt to ashes the locust in the form of Kama, reign supreme. In its vicinity, the rays of the moon on Shiva’s crest appear lovely like an arrangement of white wicks.	The poem begins with a praise of Shiva’s ocular fire to highlight the importance of fire in the destruction of the Tripuras, to indicate that all fires, including the fire of Shiva’s arrow, owe their origin to his ocular fire, and to suggest that the fire which destroyed even Kama as if he were a mere locust can easily destroy the Tripuras. The use of the word ‘anaṅga’ for Kama, that describes his state after being burnt down by Shiva, is for the purpose of alliteration (with ‘pataṅga’ and ‘khaṭvāṅgino’) (JR).
1	2	तनोतु भूतिं दहतादघानि स शूलिनो लोचनपावको वः । धूमानभिज्ञोऽपि रतेरजस्रमश्रुस्रुतेर्योऽजनि सूत्रधारः ॥ २ ॥	tanotu bhūtiṃ dahatādaghāni sa śūlino locanapāvako vaḥ | dhūmānabhijño'pi raterajasramaśrusruteryo'jani sūtradhāraḥ || 2 ||	लोकोत्तरप्रभावत्वात्समिनिरपेक्षमेव ज्वलन्नत एव धूमस्यानभिज्ञोऽपि यो रतेः कामवध्वा बाष्पप्रवाहस्य सूचनात्सूत्रधारः समपादि स हरस्य नेत्राग्निभूतिं विस्तारयतु । पापानि दहतात् । भूतिरैश्वर्यं भस्म च । पावकानुगुणत्वाद्दहतादित्याद्युक्त्युपन्यासः । शूलिनः पावको भूतिं तनोतीति वैचित्र्यप्रतीत्यर्थः शूलिशब्दोपन्यासः । अत्र बाष्पहेतौ धूमेऽसत्यपि बाष्पस्य फलस्योत्पत्त्या विभावनालङ्कारः ॥	May the fire of Shiva’s (third) eye grant you prosperity/sacred ash and burn down your sins – a fire that, in spite of being smokeless, stage-managed Rati’s incessant shedding of tears.	The fire of Shiva’s third eye blazes forth smokeless in the absence of a feeding fuel because of its supernatural power. The figure of speech employed in this verse is ‘vibhāvanā’ since the effect - the production of tears – materializes even in the absence of the cause - the appearance of smoke. The use of the verb form ‘dahatāt’ (‘may it burn down’) is appropriate for the subject, namely, fire (JR).
1	3	भालस्थलीरङ्गतले मृडस्य हुताशनस्ताण्डवकृत्स वोऽव्यात् । यस्मिन्रतिप्राणसमः शरीरमुन्मालकायेव निजं मुमोच ॥ ३ ॥	bhālasthalīraṅgatale mṛḍasya hutāśanastāṇḍavakṛtsa vo'vyāt | yasminratiprāṇasamaḥ śarīramunmālakāyeva nijaṃ mumoca || 3 ||	रतेः प्राणसमः प्रियः कामो नृत्तप्रीतः सन्नुन्मालकाय पारितोषकदानायेव शरीरं यस्मिंस्तत्त्याज स पावको हरस्य ललाटभूमिरेव रङ्गतलं तत्र ताण्डवमिव ताण्डवं कर्ता युष्मान्प्रीणयतु । रतिप्राणसम इति पर्यायवक्रतया कामुकत्वावगमेनोन्मालकौदार्यप्रतीतिः ॥	May the Fire, dancing a robust dance on the stage that is Shiva’s forehead, save us. Kama, Rati’s sweetheart, offered his very body to it (i.e., the Fire-dancer) as a gift, so it seemed.	Unmālaka, a rare word, is explained by JR as ‘pāritoṣakapradāna’, ‘offering a gift’. The use of ‘ratiprāṇasama’ (‘as dear as life to Rati’) to describe Kama underscores the latter’s amorous nature and thereby a predilection for offering gifts (JR).
1	4	तन्नेत्रमासूत्रितवह्निसख्यमाख्यातु वः शर्म शिवस्य यस्मिन् । ज्वालावलीपल्लवकेलितल्पे विनैव रत्या मदनो निदद्रौ ॥ ४ ॥	tannetramāsūtritavahnisakhyamākhyātu vaḥ śarma śivasya yasmin | jvālāvalīpallavakelitalpe vinaiva ratyā madano nidadrau || 4 ||	यस्मिन्नेत्रे ज्वालावल्येव वर्णसन्निवेशाभ्यां पल्लवलीलाशयनं तत्र रतिरहितः कामो निदद्रौ दग्धः। तदासूत्रितमुट्टङ्कितं वह्निना सख्यं येन तच्छिवसम्बन्धि नेत्रं वः सुखं प्रथयताम् । मदन इति पर्यायवक्रतया कामुकत्वावगतौ सत्यां विनैव रत्येत्येवकारोपन्याससङ्गतिः। तदुपोद्बलकं च ज्वालावलीनां पल्लवशय्यारूपणम् ॥	Let Shiva’s eye – one that has forged a friendship with fire – proclaim happiness to you. In the pleasure bed of fresh leaves formed by its (i.e., the eye’s) billowing flames, Kama fell into a deep sleep, even without Rati by his side.	The flames are similar to fresh leaves in shape and colour alike (JR).
1	5	भर्गस्य सीमन्तितभालभित्तिः स्वाहापतिर्वो दुरितं दुनोतु । यत्तापयुक्त्येव विलीयमानो न पूर्णतामेति किरीटचन्द्रः ॥ ५ ॥	bhargasya sīmantitabhālabhittiḥ svāhāpatirvo duritaṃ dunotu | yattāpayuktyeva vilīyamāno na pūrṇatāmeti kirīṭacandraḥ || 5 ||	यत्तापयोगेन विलीयमानो विगलन्मुकुटचन्द्रः पूर्णो न भवति सः । भर्गस्य । सीमन्तिता मध्यस्थाने निवेशेन द्विधा कृता भालभित्तिर्येन सः । स्वाहापतिरग्निर्वः पापं दहतु । अत्र मौलीन्दुपूर्णत्वाभावस्य निमित्तभूताया वस्तुगतेर्निमित्तान्तरेण विलयेनोत्प्रेक्षणम् ॥	May the fire that passes through the centre of Shiva’s rampart-like forehead and divides it into two halves destroy your sins. The moon on the Lord’s crest, melting constantly as it were by coming into contact with its heat, never attains fullness. 	N/A
1	6	स किल्बिषं प्लुष्यतु वः शराग्निरुमापतेरौर्व इव द्वितीयः । यो दानवस्मेरदृशां गणस्य बाष्पाम्बुपूरस्य न तृप्यति स्म ॥ ६ ॥	sa kilbiṣaṃ pluṣyatu vaḥ śarāgnirumāpateraurva iva dvitīyaḥ | yo dānavasmeradṛśāṃ gaṇasya bāṣpāmbupūrasya na tṛpyati sma || 6 ||	दानवस्त्रीणामश्रुवारिपूरस्य यो नातृप्यत् । भर्तृवधान्नित्यमेवारोदयदित्यर्थः । अत एव द्वितीयो वाडव इव । वाडवो हि जलेन्धनः । स गौरीपतेः शरदहनो दुरितं दहतु । स्मेरदृशामिति पूर्वावस्थानुगुणम् । 'पूरणगुण-' इति ज्ञापकात्तृप्यतिकर्मण: षष्ठी ॥	Let the fire of Shiva’s arrow reduce your sin to ashes. Like a second Aurva fire, it never had enough of the flood of tears shed by long-eyed Danava damsels.	Aurva is the submarine fire ‘whose fuel is water’ (jalendhana). The use of ‘tṛpyati’ with the genitive ‘bāṣpāmbupūrasya’ is in accordance to the rule ‘pūraṇaguṇa---‘(Aṣṭādhyāyī, 2.2.11) (JR).  Just as no amount of water is enough for the submarine fire, so no amount of teary water shed by the (widowed) wives of Danavas can satisfy the fire of Shiva’s arrow. The overall purport of the verse is that Shiva’s fiery arrow is never tired of exterminating the Danavas.
1	7	स पातु वो विश्वगुरुर्गिरीशो यस्मै शिरःस्थाप्य सकृत्प्रयुङ्क्ते । आवर्तमालावलनक्रमेण प्रदक्षिणानीव सुरस्रवन्ती ॥ ७ ॥	sa pātu vo viśvagururgirīśo yasmai śiraḥsthāpya sakṛtprayuṅkte | āvartamālāvalanakrameṇa pradakṣiṇānīva surasravantī || 7 ||	शिरःस्था शिरसि तिष्ठन्ती मान्या च । सुरस्रवन्ती गङ्गा । पुनः पुनरावर्तभ्रमणस्य क्रमेण छलपर्यवसायिना यस्मै विश्वगुरुत्वात्प्रदक्षिणानीव करोति स गिरीशो वः पातु । शिरःस्थापीति दण्डापूपिकयेतरेषां प्रदक्षिणदानातिशयप्रतिपादनम् ॥	May Shiva, the universal teacher, save us. The Celestial River, by way of her row of revolving eddies, seems to circumambulate around him even though he (himself) bears her (respectfully) upon his head.	The adjective ‘śiraḥsthā’ is used in the dual sense of ‘situated on the head’ and ‘respected’. By describing River Ganga as circumambulating Shiva in spite of the latter honouring her by placing her on his head, the poet conveys the special respect she has for him (JR).
1	8	मालिन्यदैन्यं जगतो हरन्तु हरस्य पीयूषरुचोऽट्टहासाः। दिशोऽपि शैवत्वमिव स्पृशन्त्यो यैर्गृह्णते भास्मनमङ्गरागम् ॥ ८ ॥	mālinyadainyaṃ jagato harantu harasya pīyūṣaruco'ṭṭahāsāḥ| diśo'pi śaivatvamiva spṛśantyo yairgṛhṇate bhāsmanamaṅgarāgam || 8 ||	शिवो देवतास्येति शैवः । यैरट्टहासैः शैवत्वमिवाश्रयन्त्यः । एतेन हराट्टहासानां दिग्व्यापित्वोपादानम् । यैर्भस्माङ्गरागमिव दिशो गृह्णन्ति । दिशोऽपीत्यपिशब्देन सचेतनानां शैवत्वग्रहणं दण्डापूपिकया सिद्धम् । अथवाट्टहासानां भस्माङ्गरागेणाभेदाद्भस्माङ्गरागौचित्याच्छैवत्वोत्प्रेक्षणम् । एतेन हि शिवाचारोऽनुष्ठेयः । अमृतश्रियो हराट्टहासा मालिन्येन पापवत्तया दैन्यं दीनतां विश्वस्य निवारयन्तु। मालिन्यस्याध्यवसानेन पीयूषरुच इति विशेषणसङ्गतिः। पूर्वव्याख्यायामट्टहासानां सशब्दत्वशुभ्रत्वाभ्या -मुत्प्रेक्षयोः समुत्थानम् ॥	May Shiva’s boisterous laughs – bright as ambrosia – dispel the pale of gloom from the world. Thanks to them, even the directions, smeared as it were with holy ash, embrace the Shaiva vow.	Shiva’s laughter is both far-reaching and bright white wherefore it can pervade the directions and whiten them. Holy ash is white too and Shaivites compulsorily smear their bodies with it (JR).
1	9	अभ्यर्णवर्तिध्वनदभ्रसिन्धुवीचिं स्तुवे शङ्करशेखरेन्दुम् । अभ्याशतः शिक्षितमीश्वरस्य मुखात्प्रयुञ्जानमिवाट्टहासम् ॥ ९ ॥	abhyarṇavartidhvanadabhrasindhuvīciṃ stuve śaṅkaraśekharendum | abhyāśataḥ śikṣitamīśvarasya mukhātprayuñjānamivāṭṭahāsam || 9 ||	प्रत्यासत्तेरीश्वरमुखादधीतमट्टहासं कुर्वाणमिव । यतोऽभ्यर्णवर्तिन्यो निकटाः । ध्वनन्त्यः शब्दायमानाः । गङ्गालहर्यो यस्य तं हरमौलिचन्द्रं नमामि । शुभ्रत्वसशब्दत्वाभ्यामुत्प्रेक्षणम् ॥	Salutations to the moon on Shiva’s crest – in whose vicinity roar Ganga’s waves – as if the moon, because of his closeness to the Lord, was exhibiting the loud laughter that he learnt from the latter.	The poetic fancy of Ganga’s waves appearing like the boisterous laughter of Shiva’s crest-moon is made possible on account of the former’s brightness and noisiness (JR).
1	10	नीरन्ध्रभस्मौघसखी तनुर्वः शर्वस्य दुर्वारमघं हिनस्तु । सर्वाङ्गसंसङ्गिभुजङ्गमुक्तनिर्मोकपट्टैरवगुण्ठितेव ॥ १० ॥	nīrandhrabhasmaughasakhī tanurvaḥ śarvasya durvāramaghaṃ hinastu | sarvāṅgasaṃsaṅgibhujaṅgamuktanirmokapaṭṭairavaguṇṭhiteva || 10 ||	नीरन्ध्रोऽविरलो यो भस्मौघस्तस्य सखी शर्वस्य तनुर्दुर्वारं पापं विनाशयतु । अतो भगवतः सर्वाङ्गेषु बु संसङ्गिनो ये भुजङ्गाः सर्पास्तैर्मुक्तास्त्यक्ता ये निर्मोकपट्टाः कञ्चुकास्तैरवगुण्ठिता वलितेव । श्वेतत्वेनोत्प्रेक्षणम् ॥	Let Shiva’s form – thickly smeared in ash and therefore covered as it were with pieces of white slough discarded by serpents clinging to his each and every limb – eliminate your unrelenting sins.	Both holy ash and the slough of serpents are white.
