म०,सू०,मं०,अष्ट०,अ०,व०,Mantra
1,1,1,1,1,1,अ॒ग्निमी॑ळे पु॒रोहि॑तं य॒ज्ञस्य॑ दे॒वमृ॒त्विज॑म् । होता॑रं रत्न॒धात॑मम् ॥
1,1,2,1,1,1,अ॒ग्निः पूर्वे॑भि॒रृषि॑भि॒रीड्यो॒ नूत॑नैरु॒त । स दे॒वाँ एह व॑क्षति ॥
1,1,3,1,1,1,अ॒ग्निना॑ र॒यिम॑श्नव॒त्पोष॑मे॒व दि॒वेदि॑वे । य॒शसं॑ वी॒रव॑त्तमम् ॥ 
1,1,4,1,1,1,अग्ने॒ यं य॒ज्ञम॑ध्व॒रं वि॒श्वत॑ः परि॒भूरसि॑ । स इद्दे॒वेषु॑ गच्छति ॥
1,1,5,1,1,1,अ॒ग्निर्होता॑ क॒विक्र॑तुः स॒त्यश्चि॒त्रश्र॑वस्तमः । दे॒वो दे॒वेभि॒रा ग॑मत् ॥ 
1,1,6,1,1,2,यद॒ङ्ग दा॒शुषे॒ त्वमग्ने॑ भ॒द्रं क॑रि॒ष्यसि॑ । तवेत्तत्स॒त्यम॑ङ्गिरः ॥
1,1,7,1,1,2,उप॑ त्वाग्ने दि॒वेदि॑वे॒ दोषा॑वस्तर्धि॒या व॒यम् । नमो॒ भर॑न्त॒ एम॑सि ॥ 
1,1,8,1,1,2,राज॑न्तमध्व॒राणां॑ गो॒पामृ॒तस्य॒ दीदि॑विम् । वर्ध॑मानं॒ स्वे दमे॑ ॥
1,1,9,1,1,2,स न॑ः पि॒तेव॑ सू॒नवेऽग्ने॑ सूपाय॒नो भ॑व । सच॑स्वा नः स्व॒स्तये॑ ॥ 
1,2,1,1,1,3,वाय॒वा या॑हि दर्शते॒मे सोमा॒ अरं॑कृताः । तेषां॑ पाहि श्रु॒धी हव॑म् ॥
1,2,2,1,1,3,वाय॑ उ॒क्थेभि॑र्जरन्ते॒ त्वामच्छा॑ जरि॒तार॑ः । सु॒तसो॑मा अह॒र्विद॑ः ॥ 
1,2,3,1,1,3,वायो॒ तव॑ प्रपृञ्च॒ती धेना॑ जिगाति दा॒शुषे॑ । उ॒रू॒ची सोम॑पीतये ॥
1,2,4,1,1,3,इन्द्र॑वायू इ॒मे सु॒ता उप॒ प्रयो॑भि॒रा ग॑तम् । इन्द॑वो वामु॒शन्ति॒ हि ॥ 
1,2,5,1,1,3,वाय॒विन्द्र॑श्च चेतथः सु॒तानां॑ वाजिनीवसू । तावा या॑त॒मुप॑ द्र॒वत् ॥
