Mandala,Sukta,MantraNum,Mantra
1,1,1,अग्निमीळे पुरोहितं यज्ञस्य देवं रत्वीजम । होतारं रत्नधातमम ॥
1,2,2,अग्निः पूर्वेभिर्र्षिभिरीड्यो नूतनैरुत । स देवानेह वक्षति ॥
1,2,3,अग्निना रयिमश्नवत पोषमेव दिवे-दिवे । यशसं वीरवत्तमम ॥
1,2,4,अग्ने यं यज्ञमध्वरं विश्वतः परिभूरसि । स इद्देवेषु गछति ॥
1,2,5,अग्निर्होता कविक्रतुः सत्यश्चित्रश्रवस्तमः । देवो देवेभिरा गमत ॥
1,2,6,यदङग दाशुषे तवमग्ने भद्रं करिष्यसि । तवेत तत सत्यमङगिरः ॥
1,2,7,उप तवाग्ने दिवे-दिवे दोषावस्तर्धिया वयम । नमो भरन्त एमसि ॥
1,2,8,राजन्तमध्वराणां गोपां रतस्य दीदिविम । वर्धमानंस्वे दमे ॥
1,2,9,स नः पितेव सूनवे अग्ने सूपायनो भव । सचस्वा नः सवस्तये ॥
1,2,1,वायवा याहि दर्शतेमे सोमा अरंकृताः। तेषां पाहि श्रुधी हवम्॥
1,2,2,वाय उक्थेभिर्जरन्ते त्वामच्छा जरितारः। सुतसोमा अहर्विदः॥
1,2,3,वायो तव प्रपृञ्चती धेना जिगाति दाशुषे। उरूची सोमपीतये॥
1,2,4,इन्द्रवायू इमे सुता उप प्रयोभिरा गतम्। इन्दवो वामुशन्ति हि॥
1,2,5,वायविन्द्रश्च चेतथः सुतानां वाजिनीवसू। तावा यातमुप द्रवत्॥
1,2,6,वायविन्द्रश्च सुन्वत आ यातमुप निष्कृतम्। मक्ष्वित्था धिया नरा॥
1,2,7,मित्रं हुवे पूतदक्षं वरुणं च रिशादसम्। धियं घृताचीं साधन्ता॥
1,2,8,ऋतेन मित्रावरुणावृतावृधावृतस्पृशा। क्रतुं बृहन्तमाशाथे॥
1,2,9,कवी नो मित्रावरुणा तुविजाता उरुक्षया। दक्षं दधाते अपसम्॥
1,3,1,अश्विना यज्वरीरिषो द्रवत्पाणी शुभस्पती। पुरुभुजा चनस्यतम्॥
1,3,2,अश्विना पुरुदंससा नरा शवीरया धिया। धिष्ण्या वनतं गिरः॥
1,3,3,दस्रा युवाकवः सुता नासत्या वृक्तबर्हिषः। आ यातं रुद्रवर्तनी॥
1,3,4,इन्द्रा याहि चित्रभानो सुता इमे त्वायवः। अण्वीभिस्तना पूतासः॥
1,3,5,इन्द्रा याहि धियेषितो विप्रजूतः सुतावतः। उप ब्रह्माणि वाघतः॥
1,3,6,इन्द्रा याहि तूतुजान उप ब्रह्माणि हरिवः। सुते दधिष्व नश्चनः॥
1,3,7,ओमासश्चर्षणीधृतो विश्वे देवास आ गत। दाश्वांसो दाशुषः सुतम्॥
1,3,8,विश्वे देवासो अप्तुरः सुतमा गन्त तूर्णयः। उस्रा इव स्वसराणि॥
1,3,9,विश्वे देवासो अस्रिध एहिमायासो अद्रुहः। मेधं जुषन्त वह्नयः॥
1,3,10,पावका नः सरस्वती वाजेभिर्वाजिनीवती। यज्ञं वष्टु धियावसुः॥
1,3,11,चोदयित्री सूनृतानां चेतन्ती सुमतीनाम्। यज्ञं दधे सरस्वती॥
1,3,12,महो अर्णः सरस्वती प्र चेतयति केतुना। धियो विश्वा वि राजति॥
1,4,1,सुरूपकृत्नुमूतये सुदुघामिव गोदुहे। जुहूमसि द्यविद्यवि॥
1,4,2,उप नः सवना गहि सोमस्य सोमपाः पिब। गोदा इद्रेवतो मदः॥
1,4,3,अथा ते अन्तमानां विद्याम सुमतीनाम्। मा नो अति ख्य आ गहि॥
1,4,4,परेहि विग्रमस्तृतमिन्द्रं पृच्छा विपश्चितम्। यस्ते सखिभ्य आ वरम्॥
1,4,5,उत ब्रुवन्तु नो निदो निरन्यतश्चिदारत। दधाना इन्द्र इद्दुवः॥
1,4,6,उत नः सुभगाँ अरिर्वोचेयुर्दस्म कृष्टयः। स्यामेदिन्द्रस्य शर्मणि॥
1,4,7,एमाशुमाशवे भर यज्ञश्रियं नृमादनम्। पतयन्मन्दयत्सखम्॥
1,4,8,अस्य पीत्वा शतक्रतो घनो वृत्राणामभवः। प्रावो वाजेषु वाजिनम्॥
1,4,9,तं त्वा वाजेषु वाजिनं वाजयामः शतक्रतो। धनानामिन्द्र सातये॥
1,4,10,यो रायोऽवनिर्महान्सुपारः सुन्वतः सखा। तस्मा इन्द्राय गायत॥
1,5,1,आ त्वेता नि षीदतेन्द्रमभि प्र गायत। सखायः स्तोमवाहसः॥
1,5,2,पुरूतमं पुरूणामीशानं वार्याणाम्। इन्द्रं सोमे सचा सुते॥
