YAJURVED	मन्त्रसंख्या				
क्रमसंख्या	अध्याय.मन्त्रसंख्या	अध्याय	मन्त्रसंख्या	क्रमसंख्या	वेदमन्त्रःस्वररहितः
1	1.1	1	1	1	इषे त्वोर्जे त्वा वायव स्थ देवो वः सविता प्रार्पयतु श्रेष्ठतमाय कर्मणऽआप्यायध्वमघ्न्याऽइन्द्राय भागं प्रजावतीरनमीवाऽअयक्ष्मा मा व स्तेनऽईशत माघशꣳसो ध्रुवाऽअस्मिन् गोपतौ स्यात बह्वीर्यजमानस्य पशून् पाहि ॥१॥
2	1.2	1	2	2	वसोः पवित्रमसि द्यौरसि पृथिव्यसि मातरिश्वनो घर्मोऽसि विश्वधाऽअसि। परमेण धाम्ना दृꣳहस्व मा ह्वार्मा ते यज्ञपतिर्ह्वार्षीत् ॥२॥
3	1.3	1	3	3	वसोः पवित्रमसि शतधारं वसोः पवित्रमसि सहस्रधारम्। देवस्त्वा सविता पुनातु वसोः पवित्रेण शतधारेण सुप्वा कामधुक्षः ॥३॥
4	1.4	1	4	4	सा विश्वायुः सा विश्वकर्मा सा विश्वधायाः। इन्द्रस्य त्वा भागꣳ सोमेनातनच्मि विष्णो हव्यꣳरक्ष ॥४॥
5	1.5	1	5	5	अग्ने व्रतपते व्रतं चरिष्यामि तच्छकेयं तन्मे राध्यताम्। इदमहमनृतात् सत्यमुपैमि ॥५॥
6	1.6	1	6	6	कस्त्वा युनक्ति स त्वा युनक्ति कस्मै त्वा युनक्ति तस्मै त्वा युनक्ति। कर्मणे वां वेषाय वाम् ॥६॥
7	1.7	1	7	7	प्रत्युष्टꣳरक्षः प्रत्युष्टाऽअरातयो निष्टप्तꣳरक्षो निष्टप्ताऽअरातयः। उर्वन्तरिक्षमन्वेमि ॥७॥
8	1.8	1	8	8	धूरसि धूर्व धूर्वन्तं धूर्व तं योऽस्मान् धूर्वति तं धूर्व यं वयं धूर्वामः। देवानामसि वह्नितमꣳ सस्नितमं पप्रितमं जुष्टतमं देवहूतमम् ॥८॥
9	1.9	1	9	9	अह्रुतमसि हविर्धानं दृꣳहस्व मा ह्वार्मा ते यज्ञपतिर्ह्वार्षीत्। विष्णुस्त्वा क्रमतामुरु वातायापहतꣳरक्षो यच्छन्तां पञ्च ॥९॥
10	1.10	1	10	10	देवस्य त्वा सवितुः प्रसवेऽश्विनोर्बाहुभ्यां पूष्णो हस्ताभ्याम्। अग्नये जुष्टं गृह्णाम्यग्नीषोमाभ्यां जुष्टं गृह्णामि ॥१०॥
11	1.11	1	11	11	भूताय त्वा नारातये स्वरभिविख्येषं दृꣳहन्तां दुर्याः पृथिव्यामुर्वन्तरिक्षमन्वेमि। पृथिव्यास्त्वा नाभौ सादयाम्यदित्याऽउपस्थेऽग्ने हव्यꣳ रक्ष ॥११॥
12	1.12	1	12	12	पवित्रे स्थो वैष्णव्यौ सवितुर्वः प्रसव उत्पुनाम्यच्छिद्रेण पवित्रेण सूर्य्यस्य रश्मिभिः। देवीरापोऽअग्रेगुवोऽअग्रेपुवोऽग्रऽइममद्य यज्ञं नयताग्रे यज्ञपतिꣳ सुधातुं यज्ञपतिं देवयुवम् ॥१२॥
13	1.13	1	13	13	युष्माऽइन्द्रोऽवृणीत वृत्रतूर्य्ये यूयमिन्द्रमवृणीध्वं वृत्रतूर्ये प्रोक्षिता स्थ। अग्नये त्वा जुष्टं प्रोक्षाम्यग्नीषोमाभ्यां त्वा जुष्टं प्रोक्षामि। दैव्याय कर्मणे शुन्धध्वं देवयज्यायै यद्वोऽशुद्धाः पराजघ्नुरिदं वस्तच्छुन्धामि ॥१३॥
14	1.14	1	14	14	शर्मास्यवधूतꣳ रक्षोऽवधूताऽअरातयोऽदित्यास्त्वगसि प्रति त्वादितिर्वेत्तु। अद्रिरसि वानस्पत्यो ग्रावासि पृथुबुध्नः प्रति त्वादित्यास्त्वग्वेत्तु ॥१४॥
15	1.15	1	15	15	अग्नेस्तनूरसि वाचो विसर्जनं देववीतये त्वा गृह्णामि बृहद् ग्रावासि वानस्पत्यः सऽइदं देवेभ्यो हविः शमीष्व सुशमि शमीष्व। हविष्कृदेहि हविष्कृदेहि ॥१५॥
16	1.16	1	16	16	कुक्कुटोऽसि मधुजिह्वऽइषमूर्जमावद त्वया वयꣳ सङ्घातꣳ सङ्घातं जेष्म वर्षवृद्धमसि प्रति त्वा वर्षवृद्धं वेत्तु परापूतꣳ रक्षः परापूता अरातयोऽपहतꣳ रक्षो वायुर्वो विविनक्तु देवो वः सविता हिरण्यपाणिः प्रतिगृभ्णात्वच्छिद्रेण पाणिना ॥१६॥
17	1.17	1	17	17	धृष्टिरस्यपाऽग्नेऽअग्निमामादं जहि निष्क्रव्यादꣳ सेधा देवयजं वह। ध्रुवमसि पृथिवीं दृꣳह ब्रह्मवनि त्वा क्षत्रवनि सजातवन्युपदधामि भ्रातृव्यस्य वधाय ॥१७॥
18	1.18	1	18	18	अग्ने ब्रह्म गृभ्णीष्व धरुणमस्यन्तरिक्षं दृꣳह ब्रह्मवनि त्वा क्षत्रवनि सजातवन्युपदधामि भ्रातृव्यस्य वधाय। धर्त्रमसि दिवं दृꣳह ब्रह्मवनि त्वा क्षत्रवनि सजातवन्युपदधामि भ्रातृव्यस्य वधाय। विश्वाभ्यस्त्वाशाभ्यऽउपदधामि चित स्थोर्ध्वचितो भृगूणामङ्गिरसां तपसा तप्यध्वम् ॥१८॥
19	1.19	1	19	19	शर्मास्यवधूतꣳ रक्षोऽवधूताऽअरातयोऽदित्यास्त्वगसि प्रति त्वादितिर्वेतु। धिषणासि पर्वती प्रति त्वादित्यास्त्वग्वेत्तु दिवः स्कम्भनीरसि धिषणासि पार्वतेयी प्रति त्वा पर्वती वेत्तु ॥१९॥
20	1.20	1	20	20	धान्यमसि धिनुहि देवान् प्राणाय त्वोदानाय त्वा व्यानाय त्वा। दीर्घामनु प्रसितिमायुषे धां देवो वः सविता हिरण्यपाणिः प्रतिगृभ्णात्वच्छिद्रेण पाणिना चक्षुषे त्वा महीनां पयोऽसि ॥२०॥
21	1.21	1	21	21	देवस्य त्वा सवितुः प्रसवेऽश्विनोर्बाहुभ्यां पूष्णो हस्ताभ्याम्। सं वपामि समापऽओषधीभिः समोषधयो रसेन। सꣳ रेवतीर्जगतीभिः पृच्यन्ता सं मधुमतीर्मधुमतीभिः पृच्यन्ताम् ॥२१॥
