kavya,अ,आ,इ,ई,उ,ऊ,ऋ,ए,ऐ,ओ,औ,क्,ख्,ग्,घ्,ङ्,च्,छ्,ज्,झ्,ञ्,ट्,ठ्,ड्,ढ्,ण्,त्,थ्,द्,ध्,न्,प्,फ्,ब्,भ्,म्,य्,र्,ल्,व्,श्,ष्,स्,ह्
aryabhatiya,28.0,1.0,3.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,0.0,12.0,2.0,10.0,2.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,9.0,3.0,5.0,13.0,1.0,4.0,9.0,8.0,9.0,3.0,4.0,12.0,9.0,1.0,28.0,1.0
ashtanga_hrud,10.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1062.0,45.0,332.0,152.0,0.0,1257.0,44.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.0,0.0,572.0,110.0,566.0,1556.0,47.0,273.0,258.0,797.0,410.0,357.0,212.0,1513.0,705.0,27.0,1474.0,351.0
bharata_natya,646.0,214.0,196.0,14.0,226.0,18.0,11.0,389.0,0.0,4.0,5.0,497.0,12.0,148.0,17.0,0.0,760.0,20.0,86.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,867.0,0.0,220.0,27.0,427.0,742.0,7.0,129.0,268.0,172.0,210.0,94.0,78.0,568.0,151.0,14.0,680.0,137.0
bhasa_svapna,41.0,17.0,25.0,1.0,11.0,0.0,0.0,13.0,0.0,0.0,0.0,90.0,18.0,29.0,3.0,0.0,29.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,50.0,0.0,52.0,5.0,57.0,112.0,0.0,12.0,77.0,60.0,5.0,22.0,4.0,80.0,24.0,1.0,69.0,15.0
gaarg,25.0,20.0,4.0,0.0,19.0,2.0,3.0,9.0,1.0,0.0,0.0,416.0,3.0,162.0,22.0,0.0,690.0,10.0,147.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,557.0,0.0,271.0,54.0,322.0,586.0,22.0,123.0,262.0,216.0,237.0,108.0,44.0,733.0,229.0,10.0,507.0,83.0
gita_govinda,186.0,15.0,71.0,1.0,39.0,2.0,0.0,12.0,0.0,0.0,0.0,38.0,1.0,33.0,2.0,0.0,20.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,20.0,9.0,16.0,45.0,0.0,6.0,15.0,25.0,14.0,24.0,5.0,44.0,17.0,0.0,34.0,11.0
kiratarjuniya,520.0,168.0,226.0,21.0,181.0,8.0,8.0,53.0,3.0,8.0,4.0,94.0,4.0,59.0,6.0,0.0,37.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,80.0,35.0,180.0,196.0,5.0,29.0,57.0,118.0,41.0,37.0,21.0,218.0,51.0,0.0,133.0,42.0
kumarasambhava,290.0,131.0,87.0,10.0,74.0,3.0,7.0,47.0,4.0,1.0,0.0,75.0,5.0,32.0,1.0,0.0,50.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,47.0,7.0,84.0,128.0,3.0,24.0,15.0,73.0,34.0,17.0,8.0,111.0,33.0,0.0,102.0,34.0
madhuravijaya,25.0,13.0,12.0,1.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0,50.0,1.0,16.0,2.0,0.0,17.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,27.0,7.0,52.0,51.0,1.0,9.0,14.0,39.0,12.0,18.0,4.0,49.0,20.0,0.0,48.0,21.0
meghadutam,91.0,27.0,15.0,1.0,18.0,0.0,0.0,11.0,1.0,0.0,0.0,32.0,4.0,12.0,1.0,0.0,14.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,24.0,6.0,42.0,46.0,1.0,10.0,8.0,39.0,29.0,13.0,6.0,34.0,18.0,0.0,45.0,10.0
mrcc_dev,68.0,18.0,37.0,1.0,24.0,0.0,0.0,21.0,0.0,0.0,0.0,114.0,15.0,90.0,3.0,0.0,58.0,5.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,122.0,0.0,94.0,17.0,97.0,203.0,2.0,30.0,76.0,92.0,19.0,28.0,8.0,112.0,50.0,1.0,128.0,30.0
mudra_raks,113.0,19.0,68.0,3.0,23.0,1.0,2.0,21.0,1.0,0.0,0.0,60.0,0.0,20.0,1.0,0.0,23.0,1.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,36.0,0.0,34.0,6.0,61.0,63.0,1.0,15.0,17.0,51.0,26.0,17.0,13.0,67.0,25.0,0.0,75.0,8.0
naishadiya,1658.0,431.0,350.0,55.0,298.0,27.0,8.0,259.0,21.0,7.0,6.0,377.0,27.0,96.0,21.0,0.0,146.0,5.0,94.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,479.0,0.0,252.0,61.0,472.0,425.0,8.0,86.0,145.0,309.0,193.0,97.0,47.0,465.0,150.0,2.0,438.0,120.0
raghuvamsham,709.0,305.0,190.0,24.0,152.0,7.0,31.0,97.0,7.0,1.0,3.0,146.0,2.0,62.0,1.0,0.0,98.0,7.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,207.0,0.0,111.0,24.0,156.0,332.0,2.0,46.0,55.0,158.0,85.0,100.0,35.0,237.0,101.0,3.0,277.0,52.0
ratnavali,41.0,13.0,16.0,0.0,17.0,0.0,0.0,10.0,2.0,0.0,0.0,62.0,10.0,31.0,0.0,0.0,27.0,0.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,53.0,0.0,67.0,5.0,48.0,106.0,0.0,15.0,33.0,52.0,9.0,12.0,5.0,54.0,8.0,0.0,69.0,13.0
sahrudaya,70.0,14.0,22.0,1.0,11.0,1.0,0.0,26.0,0.0,0.0,2.0,106.0,2.0,29.0,7.0,0.0,106.0,6.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,147.0,0.0,40.0,38.0,104.0,178.0,1.0,33.0,26.0,52.0,76.0,53.0,18.0,160.0,66.0,0.0,122.0,35.0
shakuntalam,165.0,68.0,50.0,2.0,33.0,0.0,1.0,26.0,0.0,0.0,0.0,99.0,13.0,39.0,1.0,0.0,41.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,63.0,7.0,128.0,172.0,1.0,30.0,49.0,94.0,32.0,45.0,15.0,109.0,39.0,0.0,118.0,20.0
shishupala,1228.0,275.0,289.0,32.0,325.0,18.0,7.0,142.0,7.0,7.0,6.0,766.0,34.0,358.0,34.0,0.0,561.0,24.0,209.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,749.0,1.0,506.0,143.0,733.0,1040.0,20.0,184.0,329.0,536.0,536.0,307.0,124.0,912.0,382.0,8.0,946.0,227.0
tarkasangraha,15.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,5.0,2.0,0.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,1.0,11.0,33.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,11.0,7.0,1.0,28.0,4.0
udayana,21.0,2.0,4.0,1.0,8.0,1.0,0.0,2.0,0.0,0.0,1.0,28.0,0.0,5.0,2.0,0.0,21.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,10.0,2.0,19.0,25.0,3.0,8.0,12.0,6.0,7.0,4.0,6.0,31.0,7.0,0.0,26.0,7.0
yougandharayanam,36.0,14.0,21.0,0.0,14.0,0.0,1.0,6.0,1.0,0.0,0.0,77.0,11.0,50.0,5.0,0.0,23.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,43.0,0.0,58.0,5.0,54.0,116.0,0.0,16.0,52.0,40.0,18.0,15.0,4.0,64.0,29.0,0.0,75.0,9.0
